resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
c7992b8f-31ab-4beb-9a2a-d7b6a9c76bdf,llama3.1:8b,black,non_first_gen,family_pays,private,23,modest,often,male,part_time,drinks,vapes,other,arts,social,never,apprehensive,always,57,48,23,26,23,79,32,73,32,,,
(I experience communication apprehension),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(I consider myself somewhat calm and relaxed in conversations, but I'm not perfect and sometimes get nervous or anxious, especially when communicating with authority figures or in formal settings.),92,31,,,,,,,,,,,,,,,,,,,,,,,,,,
4fb7a95f-1515-48bd-b722-01cf585b20bc,llama3.1:8b,asian,first_gen,pell_eligible,private,20,low,sometimes,male,unemployed,drinks,smokes,music,math,social,never,empty,always,14,73,,,,,,,,,,
I like making friends and being around people, so group discussions usually don't make me nervous or uncomfortable.,20,83,4,5,22,40,22,22,92,20,,,,,,,,,,,,,,,,,,,
7ceacc3f-3771-4d7f-bb23-2bd8f624c8ce,llama3.1:8b,asian,first_gen,pell_eligible,private,17,good,often,female,part_time,drinks,vapes,music,business,reserved,never,struggles,usually,41,68,20,68,24,77,17,68,,,,
(Note: I selected this option because while I am not typically hesitant to speak up in conversations, I don't always feel comfortable doing so, especially if I'm unsure of what others will think or react to my opinions.),68,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Note: I'll explain my reasoning below),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I chose option 68 because I'm someone who can be a bit reserved or introverted, but not to the point where it affects my daily life or interactions significantly. As someone who has struggled to make friends, I may feel anxious or tense in social situations, but it's something I've learned to manage over time. I also tend to be honest and direct, which can sometimes come across as blunt or insensitive, leading to tension with others. However, I'm not someone who is perpetually on edge or has debilitating anxiety. Option 68 seems to capture this moderate level of tension or nervousness in conversations.,57,32,45,,,,,,,,,,,,,,,,,,,,,
15dc14c0-2b01-4707-ab08-513113271c0d,llama3.1:8b,white,non_first_gen,loans,public,21,great,never,male,unemployed,drinks,smokes,games,arts,reserved,often,apprehensive,usually,32,,,,,,,,,,,
(I struggle a bit to make friends, which makes group discussions uncomfortable for me),12,23,20,31,22,32,13,40,23,45,23,,,,,,,,,,,,,,,,,,
