dataset,model,created_by,response_scale,num_respondents,num_questions,total_cells,cleansed,cells_cleaned,cells_nan,parse_success_pct,top_nan_reason,cleanse_date
PRCA_mistral_frequency.csv,mistral,Shivya,frequency,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_gpt_oss_20_b.csv,gpt-oss:20b,Marek,agreement,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_mistral_spring.csv,mistral,Jacob,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_mistral.csv,mistral:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_llava-llama_frequency.csv,llava-llama3:latest,Vanessa,frequency,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_llava-llama.csv,llava-llama3:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_gpt_oss_20_b_frequency.csv,gpt-oss:20b,Marek,frequency,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_llama31_8b_results.csv,llama3.1:8b,Dhruv,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_gemma_29_b_top_p.csv,gemma2:9b,Marek,agreement100,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_gemma_29_b.csv,gemma2:9b,Marek,agreement100,100,12,1200,TRUE,1200,0,100,No NaN values,6/25/2026
PRCA_gemma3n.csv,gemma3n:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_dolphin_frequency_100.csv,dolphin3:latest,Dhruv,frequency100,99,16,1584,TRUE,1584,0,100,No NaN values,6/25/2026
PRCA_dolphin.csv,dolphin3:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,6/25/2026
PRCA_llama31_8b_results_100_scale.csv,llama3.1:8b,Dhruv,agreement100,100,12,1200,TRUE,1196,4,99.7,Ambiguous or unstructured response without Likert code (4/4),6/25/2026
PRCA_qwen3_59b_temp_1.05.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.40.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.10.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.00.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.15.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.20.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.25.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.30.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.35.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.65.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.45.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.50.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.55.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.60.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.65.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.90.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.70.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.75.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.95.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.50.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.85.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.35.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_2.00.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.95.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.10.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.15.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.20.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.25.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.30.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.40.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.80.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.45.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.85.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.55.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.60.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.90.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.70.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_0.75.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_qwen3_59b_temp_1.80.csv,qwen3.5:9b,Dhruv,agreement,100,16,1600,TRUE,1589,11,99.3,Left blank / originally empty (11/11),6/29/2026
PRCA_tinyllama1_b.csv,tinyllama:1.1b,Prof. AR Nelson,frequency,100,12,1200,TRUE,1145,55,95.4,Narrative response without extractable Likert code (36/55),6/25/2026
PRCA_qwen3_59b_test_questions.csv,qwen3.5:9b,Prof. AR Nelson,frequency,100,16,1600,TRUE,1511,89,94.4,Left blank / originally empty (89/89),6/25/2026
PRCA_LLM_AgreementScale.csv,llama3.2:latest,Prof. AR Nelson,agreement,100,12,1200,TRUE,1108,92,92.3,Ambiguous or unstructured response without Likert code (50/92),6/25/2026
