Unnamed: 0,resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
0,8f4bd964-29d6-43ec-8f25-5d0f1e7267f1,llama3.2:latest,white,non_first_gen,loans,public,18,modest,never,male,full_time,abstains,neither,games,business,social,never,apprehensive,always,2,2,3,4,2,3,3,3,3,3,4,4
1,e570320d-cad2-4535-a499-8b6e4bcf9fa5,llama3.2:latest,multiracial,non_first_gen,loans,public,17,low,sometimes,male,part_time,abstains,neither,arts,engineering,reserved,often,apprehensive,always,2,4,3,2,4,4,4,4,5,3,4,2
2,403e7a5d-6de9-4056-855b-e25430df99a7,llama3.2:latest,black,non_first_gen,loans,private,22,good,rarely,male,unemployed,abstains,neither,games,math,reserved,often,articulate,always,2,3,2,3,4,2,3,3,3,2,1,3
3,fa88aab6-0dd9-42bf-b333-7d456ee0e762,llama3.2:latest,black,first_gen,pell_eligible,private,16,good,often,male,part_time,abstains,smokes,other,arts,social,often,apprehensive,usually,4,,4,,3,3,3,2,2,4,5,2
4,7d6847b4-320e-4009-bf3e-d67fefee09a2,llama3.2:latest,black,first_gen,pell_eligible,public,18,great,sometimes,male,unemployed,drinks,smokes,arts,math,social,often,struggles,usually,3,,2,2,,2,4,,4,3,,3
5,cd34bf7b-575e-452c-8ae8-aab93f9381c6,llama3.2:latest,asian,first_gen,family_pays,private,23,low,often,female,full_time,drinks,smokes,sports,arts,reserved,never,apprehensive,usually,4,3,4,3,5,4,3,4,4,4,3,2
6,440620f9-ab34-4a68-8a61-1ef7eb93934c,llama3.2:latest,white,first_gen,pell_eligible,public,21,low,rarely,male,part_time,abstains,neither,arts,business,social,never,struggles,usually,2,4,4,3,3,3,3,3,2,4,2,5
7,4733fd92-ec25-4138-86fd-f11d7d334100,llama3.2:latest,black,first_gen,family_pays,public,22,low,often,female,part_time,drinks,smokes,music,science,social,never,articulate,usually,4,2,5,1,4,2,4,2,4,4,3,2
8,72e6f324-3a4b-4319-a938-0343241ac806,llama3.2:latest,white,first_gen,pell_eligible,public,21,good,sometimes,male,unemployed,drinks,vapes,sports,science,reserved,never,empty,always,2,2,4,4,4,2,5,2,5,4,1,4
9,5d9b625c-06ea-460e-8bba-e86889ea6f66,llama3.2:latest,black,first_gen,loans,public,18,good,rarely,male,part_time,abstains,neither,other,business,reserved,never,struggles,usually,2,3,3,2,5,1,3,2,4,3,1,3
10,e5406406-a350-4e80-a841-a2960c1d67fe,llama3.2:latest,black,first_gen,loans,public,16,good,rarely,female,unemployed,drinks,smokes,games,business,social,often,apprehensive,always,2,4,2,3,3,4,3,4,2,3,1,2
11,72460df0-f586-4a63-86c8-0c6e0d93e8c6,llama3.2:latest,black,first_gen,loans,public,20,good,often,male,unemployed,drinks,neither,sports,math,reserved,never,struggles,always,3,3,4,4,2,4,2,4,5,4,1,2
12,08bc6350-026e-4aec-847c-44aab9faa915,llama3.2:latest,asian,first_gen,family_pays,public,22,good,sometimes,male,unemployed,abstains,neither,music,arts,reserved,often,struggles,always,3,4,2,4,4,3,3,4,2,4,3,5
13,588cc449-58ed-4519-adc4-57bf1f2afd23,llama3.2:latest,multiracial,non_first_gen,loans,private,21,low,often,female,unemployed,drinks,neither,sports,math,social,often,articulate,usually,3,3,2,3,5,4,5,4,4,3,3,2
14,2dcb8be3-aa44-44b5-9d99-e1ace40e66f6,llama3.2:latest,black,non_first_gen,family_pays,public,20,modest,sometimes,female,full_time,drinks,neither,arts,math,social,never,apprehensive,usually,2,4,4,3,5,3,5,4,4,2,3,3
15,078a9add-4f06-4be8-a694-72194921b9b1,llama3.2:latest,white,first_gen,loans,private,20,modest,never,female,full_time,drinks,smokes,sports,math,social,often,excellent,usually,,3,4,2,,2,4,,3,2,,
16,2b6087da-52e0-4fdd-9d27-76e735bb83fa,llama3.2:latest,asian,non_first_gen,family_pays,private,20,great,rarely,female,full_time,drinks,smokes,music,arts,reserved,often,articulate,usually,2,4,5,2,4,3,3,2,4,3,2,4
17,cc164f42-169d-48de-82d5-581d72f52720,llama3.2:latest,white,first_gen,pell_eligible,public,17,great,sometimes,male,full_time,drinks,vapes,arts,science,social,often,excellent,usually,,,4,,3,,,,,,,
18,cb8fb590-67d5-4f84-b73c-7bbfee950670,llama3.2:latest,multiracial,non_first_gen,family_pays,public,20,great,never,male,full_time,abstains,neither,arts,arts,reserved,often,struggles,always,3,4,2,4,2,4,3,3,2,4,1,4
19,7d518a71-4292-47ca-b497-88abae673f31,llama3.2:latest,white,first_gen,pell_eligible,public,21,great,often,female,part_time,abstains,smokes,music,arts,reserved,never,empty,always,2,4,2,3,3,1,2,4,4,2,2,3
