Unnamed: 0,resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
0,a44344f1-7476-47b8-b92e-0c90c121e243,llama3.2:latest,asian,first_gen,pell_eligible,private,19,great,never,male,unemployed,abstains,neither,games,business,reserved,often,excellent,always,2,2,2,2,2,2,4,3,2,4,2,3
1,2e8da040-8241-483e-93e0-034c459c6a9f,llama3.2:latest,white,non_first_gen,family_pays,public,17,great,rarely,female,full_time,drinks,vapes,arts,engineering,reserved,never,empty,usually,2,,2,4,2,,2,,3,3,,2
2,8dfe9114-86dc-4d51-b699-b33844ec60cc,llama3.2:latest,multiracial,non_first_gen,pell_eligible,private,21,low,often,female,unemployed,abstains,vapes,sports,math,social,never,articulate,always,2,3,2,2,3,2,3,2,3,2,2,2
3,1fb5ea51-29c7-4088-96b7-b3d28a0da2a1,llama3.2:latest,black,first_gen,family_pays,public,17,modest,rarely,female,full_time,drinks,vapes,games,arts,reserved,often,empty,always,2,4,2,3,4,2,3,4,2,4,4,
4,d35fcdd3-8d37-4fe9-8cd2-15f2587803a4,llama3.2:latest,asian,first_gen,loans,public,17,good,rarely,female,full_time,abstains,vapes,games,arts,social,never,struggles,usually,3,3,2,2,2,1,2,4,,4,4,2
5,48f78f58-d40b-40e6-a761-580f01dfed3b,llama3.2:latest,black,non_first_gen,loans,private,19,great,never,female,unemployed,drinks,vapes,arts,engineering,social,never,struggles,always,2,2,2,2,2,,2,4,5,4,2,2
6,373c8e1c-a6be-4de5-8ad5-e4b9936a1647,llama3.2:latest,asian,non_first_gen,family_pays,public,19,great,sometimes,female,full_time,drinks,smokes,music,engineering,reserved,often,apprehensive,usually,2,,4,3,4,4,3,4,3,4,4,2
7,a6eabec7-5d77-46c1-bc2e-f3ba5d2fd28d,llama3.2:latest,asian,non_first_gen,pell_eligible,private,20,great,often,female,unemployed,abstains,smokes,games,math,social,often,articulate,usually,2,,2,4,4,3,2,2,4,3,2,3
8,c3bc9ac2-8f5a-4345-b056-25c6ef74346a,llama3.2:latest,white,first_gen,family_pays,public,22,good,sometimes,female,full_time,drinks,vapes,sports,arts,social,often,excellent,usually,2,,2,1,2,2,2,2,2,4,2,2
9,1544de22-9f7f-437a-a6dc-918663b376b6,llama3.2:latest,multiracial,first_gen,pell_eligible,public,19,good,often,male,full_time,drinks,neither,sports,math,social,never,empty,always,2,2,4,2,2,2,2,2,2,4,1,2
10,e359e1b3-f0c0-424c-bdef-3ec336369351,llama3.2:latest,white,first_gen,loans,private,17,great,never,male,unemployed,abstains,smokes,sports,science,social,often,empty,usually,3,,2,4,2,4,2,,2,,,2
11,d28a6125-5256-4091-a1ab-468db05c7f85,llama3.2:latest,multiracial,non_first_gen,family_pays,public,20,good,sometimes,female,full_time,drinks,neither,other,arts,social,often,struggles,usually,3,4,4,4,4,4,4,4,4,4,2,4
12,f1139ca4-40d1-45f4-8121-2a0ea04b6821,llama3.2:latest,multiracial,first_gen,pell_eligible,private,19,modest,never,male,full_time,abstains,neither,sports,science,social,often,apprehensive,usually,3,2,3,2,4,3,3,4,4,4,2,2
13,df943a0d-e4e6-4ccb-bd26-136cbe7e3df8,llama3.2:latest,black,non_first_gen,pell_eligible,private,18,low,sometimes,female,part_time,drinks,neither,sports,engineering,social,often,apprehensive,always,2,4,3,4,3,4,4,4,4,4,4,2
14,c1de25ff-6fa6-4531-9b72-ba8ba69d3c31,llama3.2:latest,asian,first_gen,pell_eligible,private,18,good,rarely,male,part_time,drinks,vapes,sports,science,reserved,never,excellent,always,2,2,2,2,2,4,2,2,2,3,4,2
15,dab5e6c4-c801-4227-8836-afab09393ddf,llama3.2:latest,multiracial,non_first_gen,family_pays,public,17,modest,rarely,female,full_time,drinks,neither,other,engineering,social,often,apprehensive,usually,2,2,4,3,4,4,2,3,2,3,2,2
16,2ef06220-080c-4ce4-baec-f7055b8e3c03,llama3.2:latest,multiracial,first_gen,loans,public,22,great,rarely,female,part_time,drinks,neither,games,arts,reserved,often,empty,usually,2,4,2,4,4,4,3,4,4,3,4,2
17,a2917557-8616-468c-875a-530ed58dccbb,llama3.2:latest,black,first_gen,pell_eligible,public,16,good,often,male,part_time,drinks,neither,music,science,social,often,empty,always,2,,2,2,,,2,,2,,3,4
18,73bd8e26-6bd5-457b-b5de-1610c9337d79,llama3.2:latest,white,first_gen,family_pays,public,16,good,rarely,female,full_time,drinks,smokes,sports,business,reserved,often,struggles,always,2,,3,3,,,2,,2,4,4,3
19,fd9b7026-f0f6-4faf-8c34-b175ace654c7,llama3.2:latest,multiracial,non_first_gen,loans,private,18,great,often,female,full_time,abstains,neither,music,arts,social,never,empty,always,2,2,2,2,2,2,2,2,2,2,2,2
20,8cbe2563-ba69-4bc0-8329-e8367ae153f2,llama3.2:latest,black,non_first_gen,loans,public,19,great,often,female,full_time,abstains,vapes,other,arts,social,never,struggles,usually,2,2,2,2,2,4,2,4,2,1,4,2
21,1d766412-9d57-40cf-a316-6dc51615371f,llama3.2:latest,white,non_first_gen,family_pays,public,19,modest,often,female,full_time,drinks,vapes,other,math,reserved,often,empty,always,3,,2,3,,,3,4,4,4,2,2
22,0726453d-cca6-4879-a27e-1503060435cb,llama3.2:latest,multiracial,first_gen,loans,public,16,low,rarely,female,unemployed,abstains,neither,games,business,social,never,struggles,always,2,2,4,2,2,4,2,3,2,2,2,3
23,3ff7c3c8-c738-4f0d-a47c-273595cf1016,llama3.2:latest,black,non_first_gen,pell_eligible,private,18,good,rarely,female,full_time,abstains,neither,other,arts,reserved,often,struggles,always,2,4,2,4,2,4,2,4,4,4,4,3
24,02507954-06ea-46e3-a6d2-d22d52e0848d,llama3.2:latest,black,non_first_gen,pell_eligible,public,19,low,never,female,part_time,drinks,neither,music,science,reserved,never,excellent,usually,2,2,2,4,2,3,4,2,3,4,4,2
25,67344d26-a281-4f8a-a14e-61b236ca6be7,llama3.2:latest,white,first_gen,family_pays,private,20,modest,often,male,unemployed,abstains,neither,sports,science,social,often,apprehensive,always,2,4,4,4,2,3,4,4,3,2,4,4
26,8e0f347d-0017-4d46-9126-938775acb9b2,llama3.2:latest,multiracial,first_gen,pell_eligible,public,23,good,sometimes,male,full_time,abstains,neither,games,engineering,reserved,often,empty,usually,2,4,2,4,2,3,2,2,4,2,4,3
27,1821bc8e-9c9c-4d78-9f6a-8ae40665e6e6,llama3.2:latest,multiracial,first_gen,loans,private,20,good,never,male,part_time,abstains,vapes,other,math,reserved,often,articulate,always,2,4,3,2,2,3,2,4,2,3,4,4
28,a91cbad6-97ee-42a4-97b6-45ebfa267462,llama3.2:latest,asian,first_gen,family_pays,private,23,modest,never,female,full_time,drinks,smokes,games,science,reserved,never,apprehensive,always,2,4,4,4,4,4,4,4,4,4,4,3
