resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
211dd0a4-79cc-4f5d-80a9-a6a7d9b8e7ac,deepseek-r1:1.5b,white,non_first_gen,family_pays,public,20,good,rarely,female,unemployed,drinks,vapes,games,business,social,often,excellent,always,1,,,,,,,,,,,
Answer: Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Rarely,Rarely,,,,,,,,,,,,,,,,,,,,
0683258c-ac1e-448a-ad73-d29008aa31f9,deepseek-r1:1.5b,multiracial,non_first_gen,pell_eligible,private,21,low,sometimes,male,part_time,abstains,smokes,sports,arts,social,often,empty,always,1,3,3,2,3,2,1,5,3,3,3,1
32cca6f9-3995-47e6-88b8-b616250450a5,deepseek-r1:1.5b,white,non_first_gen,pell_eligible,public,23,good,often,female,unemployed,drinks,neither,music,business,reserved,never,empty,always,1,3,3,3,3,2,3,3,3,1,,2
45eff812-e079-4989-be47-161a9d310904,deepseek-r1:1.5b,black,non_first_gen,loans,private,23,low,sometimes,male,unemployed,abstains,vapes,arts,business,social,never,excellent,usually,3,,,,,,,,,,,
**Answer:** Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,,,,,,,,,,,,,,,,,,,,
80304d2a-5592-4d4c-93c0-bb7699248b39,deepseek-r1:1.5b,multiracial,non_first_gen,pell_eligible,public,18,great,never,female,full_time,drinks,smokes,arts,engineering,social,often,struggles,usually,1,3,3,1,1,3,3,3,4,,,
**Answer:** Often,Never,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1287126-9dce-4e8c-8904-8260b5eb1af4,deepseek-r1:1.5b,white,first_gen,loans,public,16,low,never,female,unemployed,drinks,vapes,other,engineering,reserved,never,struggles,usually,2,3,4,5,3,5,3,3,3,1,3,1
24d2aaac-7b3b-4cf9-be58-d072f1ca510d,deepseek-r1:1.5b,black,first_gen,loans,public,23,good,rarely,male,unemployed,abstains,vapes,arts,math,social,never,articulate,always,,,1,,,,,,,,,
**Never**,Always,They are **sometimes** tense.,They often like to participate in group discussions.,Sometimes,Sometimes,Arbitrary,Often,Rarely,Often,often,Never,,,,,,,,,,,,,,,,,,,
3f502341-2506-43c1-9c61-41e1b764807c,deepseek-r1:1.5b,asian,first_gen,loans,public,22,great,often,male,full_time,drinks,vapes,games,arts,social,never,struggles,usually,4,,3,3,4,,,,,,,
**Answer: Often**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This response captures how their anxiety from social interactions contributes to the frequent tension they experience.,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,They are afraid to speak up in conversations, which is likely due to social pressures and fears about being judged by others. ,,,,,,,,,,,,,,,,,,,,,,
**Answer: Rarely**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b659edfd-2fd1-4a9f-9462-00701b191711,deepseek-r1:1.5b,white,first_gen,loans,public,17,low,often,male,part_time,abstains,vapes,other,math,reserved,never,struggles,usually,3,5,1,3,3,3,1,4,3,3,3,1
dfd3a227-f243-4803-99c7-76cbc73b2b78,deepseek-r1:1.5b,white,first_gen,loans,private,22,low,often,female,unemployed,abstains,neither,music,math,reserved,never,excellent,always,2,1,3,4,1,3,3,3,3,5,3,
6729ff1a-c371-48ad-8c63-d1be8108684d,deepseek-r1:1.5b,white,non_first_gen,pell_eligible,public,21,great,never,female,full_time,abstains,vapes,arts,business,reserved,often,struggles,usually,2,1,4,2,3,3,3,1,3,1,3,2
fb7039bf-443a-4db8-9a0b-3c7d56d471e2,deepseek-r1:1.5b,white,first_gen,family_pays,private,17,good,rarely,female,part_time,abstains,smokes,other,arts,reserved,often,articulate,usually,3,4,2,2,2,1,3,5,2,3,2,1
3ba32376-ce7f-4871-ba34-63f450f9ace8,deepseek-r1:1.5b,asian,non_first_gen,pell_eligible,private,16,low,rarely,male,unemployed,drinks,smokes,arts,math,social,often,struggles,usually,2,4,2,4,3,1,4,5,2,3,5,2
8188e1e8-3fcc-4c77-a8d5-52765488959f,deepseek-r1:1.5b,asian,first_gen,pell_eligible,public,21,modest,rarely,female,part_time,abstains,vapes,sports,business,social,never,excellent,always,4,,,,,,,,,,,
**Answer: Often**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The person's background in school, social experience, part-time job, honesty, and approachable demeanor make them comfortable in group settings like discussions.,Sometimes,Often,Never, Rarely, Sometimes, Often, Always,Often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,,,,,,,,,,,,
