resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
a7df3cad-0456-4cac-8b61-72a8501247aa,dolphin3:latest,multiracial,first_gen,pell_eligible,public,17,good,sometimes,male,unemployed,abstains,neither,music,business,social,often,struggles,always,17,7,4,19,13,15,5,5,14,23,5,17,15,13,5,5
156d50f5-195c-490f-9f00-ebc56df07dfd,dolphin3:latest,black,non_first_gen,family_pays,private,22,modest,often,female,full_time,drinks,vapes,sports,arts,reserved,often,excellent,always,8,11,17,26,23,16,5,8,7,13,13,15,12,7,12,5
e1c0fe81-2014-4148-81c8-79bdaa78267e,dolphin3:latest,black,non_first_gen,pell_eligible,private,17,great,sometimes,male,part_time,abstains,neither,sports,arts,social,often,apprehensive,usually,12,11,10,12,23,15,2,19,5,16,12,5,13,12,8,4
33a7fa42-fa39-4dc5-83f7-eca012ab34f9,dolphin3:latest,asian,non_first_gen,family_pays,public,16,modest,sometimes,male,unemployed,abstains,neither,music,math,social,never,apprehensive,usually,19,16,13,25,15,20,8,23,15,19,12,5,4,19,12,4
941158b1-9465-4fb7-83ac-ebd8eaf7d3f6,dolphin3:latest,multiracial,first_gen,loans,private,20,modest,never,female,part_time,drinks,smokes,games,science,social,often,empty,usually,24,19,20,37,5,23,14,8,21,50,2,16,20,17,5,13
ed0cdd9f-9045-4a86-b8e8-0726f6e20614,dolphin3:latest,white,first_gen,loans,public,22,great,sometimes,female,full_time,drinks,vapes,sports,math,reserved,often,empty,usually,22,15,17,23,14,5,12,13,23,12,12,9,26,17,10,4
74d8dd97-9364-4e03-ae86-3b5a569ed8d4,dolphin3:latest,black,first_gen,family_pays,private,16,modest,never,male,full_time,drinks,smokes,sports,arts,reserved,never,articulate,always,7,26,24,12,22,16,19,11,22,16,17,12,25,7,8,11
8e907e2a-46ca-41f5-8ce1-34e6c7492682,dolphin3:latest,asian,non_first_gen,loans,private,20,low,rarely,female,unemployed,abstains,vapes,other,engineering,social,often,apprehensive,always,7,20,5,8,24,5,5,9,12,12,12,26,12,16,5,23
74deeecf-0360-4ebc-9088-a26a091592e8,dolphin3:latest,black,first_gen,pell_eligible,public,21,modest,sometimes,male,full_time,drinks,neither,sports,arts,reserved,often,empty,always,21,20,23,17,11,5,5,5,13,21,5,22,5,3,5,14
9290965d-55dd-4dcf-962e-1f6c1fd3cc2c,dolphin3:latest,black,first_gen,loans,private,21,modest,sometimes,female,unemployed,drinks,neither,games,business,reserved,never,struggles,usually,5,11,5,16,5,19,15,14,3,18,12,5,17,15,14,5
