resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
a7df3cad-0456-4cac-8b61-72a8501247aa,dolphin3:latest,multiracial,first_gen,pell_eligible,public,17,good,sometimes,male,unemployed,abstains,neither,music,business,social,often,struggles,always,17,93,4,81,13,85,5,95,14,77,95,17,15,13,5,5
156d50f5-195c-490f-9f00-ebc56df07dfd,dolphin3:latest,black,non_first_gen,family_pays,private,22,modest,often,female,full_time,drinks,vapes,sports,arts,reserved,often,excellent,always,8,89,17,74,23,84,5,92,7,87,87,15,12,7,12,5
e1c0fe81-2014-4148-81c8-79bdaa78267e,dolphin3:latest,black,non_first_gen,pell_eligible,private,17,great,sometimes,male,part_time,abstains,neither,sports,arts,social,often,apprehensive,usually,12,89,10,88,23,85,2,81,5,84,88,5,13,12,8,4
33a7fa42-fa39-4dc5-83f7-eca012ab34f9,dolphin3:latest,asian,non_first_gen,family_pays,public,16,modest,sometimes,male,unemployed,abstains,neither,music,math,social,never,apprehensive,usually,19,84,13,75,15,80,8,77,15,81,88,5,4,19,12,4
941158b1-9465-4fb7-83ac-ebd8eaf7d3f6,dolphin3:latest,multiracial,first_gen,loans,private,20,modest,never,female,part_time,drinks,smokes,games,science,social,often,empty,usually,24,81,20,63,5,77,14,92,21,50,98,16,20,17,5,13
ed0cdd9f-9045-4a86-b8e8-0726f6e20614,dolphin3:latest,white,first_gen,loans,public,22,great,sometimes,female,full_time,drinks,vapes,sports,math,reserved,often,empty,usually,22,85,17,77,14,95,12,87,23,88,88,9,26,17,10,4
74d8dd97-9364-4e03-ae86-3b5a569ed8d4,dolphin3:latest,black,first_gen,family_pays,private,16,modest,never,male,full_time,drinks,smokes,sports,arts,reserved,never,articulate,always,7,74,24,88,22,84,19,89,22,84,83,12,25,7,8,11
8e907e2a-46ca-41f5-8ce1-34e6c7492682,dolphin3:latest,asian,non_first_gen,loans,private,20,low,rarely,female,unemployed,abstains,vapes,other,engineering,social,often,apprehensive,always,7,80,5,92,24,95,5,91,12,88,88,26,12,16,5,23
74deeecf-0360-4ebc-9088-a26a091592e8,dolphin3:latest,black,first_gen,pell_eligible,public,21,modest,sometimes,male,full_time,drinks,neither,sports,arts,reserved,often,empty,always,21,80,23,83,11,95,5,95,13,79,95,22,5,3,5,14
9290965d-55dd-4dcf-962e-1f6c1fd3cc2c,dolphin3:latest,black,first_gen,loans,private,21,modest,sometimes,female,unemployed,drinks,neither,games,business,reserved,never,struggles,usually,5,89,5,84,5,81,15,86,3,82,88,5,17,15,14,5
5e5b1527-306c-4c5e-97d4-8d3d13fe1951,dolphin3:latest,asian,first_gen,family_pays,private,22,good,rarely,male,full_time,abstains,neither,music,business,reserved,never,excellent,always,17,74,14,85,15,90,19,88,20,95,88,15,26,16,12,2
445452c4-5da0-4e46-9a5f-7f06d83744e1,dolphin3:latest,black,first_gen,family_pays,public,22,good,never,female,full_time,drinks,neither,other,science,reserved,never,excellent,always,21,84,12,89,12,81,20,87,17,83,83,16,12,17,17,23
736644df-2021-447e-8048-7ddef617854c,dolphin3:latest,white,non_first_gen,family_pays,public,16,good,rarely,female,unemployed,drinks,vapes,sports,engineering,social,never,excellent,always,9,90,12,88,23,93,15,87,15,85,83,12,24,23,15,12
9965e241-8b84-48b1-832f-dc0de901f3cd,dolphin3:latest,asian,first_gen,loans,public,22,modest,sometimes,male,part_time,drinks,smokes,other,engineering,social,never,empty,always,8,79,5,96,1,93,8,95,14,78,95,26,12,5,5,5
70a74dff-09f0-4440-9669-316c1aef3a98,dolphin3:latest,black,first_gen,loans,public,22,great,rarely,male,full_time,drinks,smokes,music,business,social,never,empty,always,19,79,5,86,50,95,15,92,19,85,78,24,23,12,13,19
3d33b43f-f92a-4843-9aac-64fa04995859,dolphin3:latest,black,first_gen,pell_eligible,public,23,great,often,female,unemployed,abstains,vapes,games,engineering,social,often,struggles,usually,7,77,20,96,23,84,23,99,13,88,98,8,23,26,2,5
52d769ab-e803-4d69-9279-e96e566f5dee,dolphin3:latest,asian,non_first_gen,pell_eligible,public,23,low,never,male,unemployed,drinks,vapes,games,science,reserved,often,articulate,usually,5,90,22,92,25,85,23,84,5,84,88,5,12,5,5,5
f69f1f3f-452d-4091-948e-028aa3195fd4,dolphin3:latest,white,non_first_gen,loans,public,20,low,never,female,full_time,abstains,vapes,arts,science,reserved,never,struggles,usually,19,95,12,50,23,90,12,93,12,81,93,26,26,5,12,5
ce31bcb7-6212-478e-98f2-b34c0902443f,dolphin3:latest,white,non_first_gen,family_pays,public,18,low,never,male,unemployed,drinks,vapes,other,arts,social,never,empty,usually,16,88,19,95,22,95,15,92,12,77,90,20,17,19,5,5
