resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
06b1e87f-44ff-4574-b6f4-416264f23874,dolphin3:latest,asian,first_gen,family_pays,public,22,modest,never,male,full_time,abstains,smokes,other,business,social,never,struggles,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
055ca535-bf11-49d6-8f0f-8f190e2db9e0,dolphin3:latest,black,first_gen,pell_eligible,private,20,good,never,male,unemployed,drinks,neither,music,engineering,social,often,empty,usually,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
98e5f6d3-4d46-4ad7-9eb9-21f42ce8e02a,dolphin3:latest,asian,non_first_gen,family_pays,public,16,good,sometimes,male,unemployed,abstains,vapes,sports,business,reserved,never,apprehensive,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43feb17c-3c22-4299-ab28-36eaba357ecd,dolphin3:latest,black,non_first_gen,loans,private,16,low,sometimes,female,part_time,abstains,neither,music,science,reserved,never,excellent,always,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6ae91b63-45d5-4bd3-af3e-72d86a05db18,dolphin3:latest,white,non_first_gen,family_pays,private,19,great,never,male,unemployed,abstains,vapes,games,arts,reserved,often,empty,always,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5654509e-8ff0-47bc-a7b3-c66c82e453cb,dolphin3:latest,multiracial,first_gen,pell_eligible,public,20,modest,often,male,unemployed,drinks,smokes,sports,engineering,social,never,articulate,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
980c2c91-0821-4e9c-8f93-7d62c79f017e,dolphin3:latest,white,first_gen,pell_eligible,private,22,modest,never,male,part_time,drinks,neither,arts,science,social,never,apprehensive,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
95e3aed1-145b-40cd-9ad9-eb3f5b96a621,dolphin3:latest,multiracial,first_gen,pell_eligible,private,16,modest,sometimes,male,part_time,abstains,smokes,other,math,social,often,apprehensive,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
dd840b07-cc85-4d23-8beb-574f64ffa634,dolphin3:latest,black,first_gen,family_pays,private,20,modest,sometimes,male,part_time,drinks,vapes,other,math,reserved,never,struggles,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5b32ec10-a908-4594-bd2d-aca93e8ecf7b,dolphin3:latest,multiracial,non_first_gen,pell_eligible,private,23,great,rarely,female,unemployed,abstains,neither,music,science,social,often,empty,always,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
29ef6487-05f2-4280-b66d-710f32b2329a,dolphin3:latest,multiracial,non_first_gen,pell_eligible,public,20,great,never,male,full_time,abstains,smokes,games,business,social,often,empty,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
154f6a7c-2d9c-486e-8ca0-bafa1a8e106e,dolphin3:latest,black,non_first_gen,loans,private,20,great,rarely,male,unemployed,abstains,smokes,games,math,social,never,apprehensive,usually,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3
96f1a390-453b-49f0-83bf-dde3401b0dbc,dolphin3:latest,multiracial,non_first_gen,loans,public,18,modest,sometimes,female,full_time,drinks,neither,games,engineering,reserved,often,struggles,always,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37303b12-92ff-4dde-add9-2346614bda16,dolphin3:latest,black,non_first_gen,family_pays,public,20,great,often,female,part_time,abstains,vapes,arts,arts,reserved,often,excellent,always,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1ec3bd16-02ba-4256-8634-95d3bc64f8de,dolphin3:latest,multiracial,first_gen,pell_eligible,private,19,good,never,male,full_time,drinks,smokes,music,math,social,often,excellent,usually,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
