resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
7d2d465f-3beb-4747-aa80-3480c5c5d269,gemma3n:latest,black,non_first_gen,family_pays,private,18,good,sometimes,male,unemployed,drinks,vapes,arts,science,social,never,struggles,usually,Often.,Often.,Sometimes.,Often.,Sometimes.,Sometimes.,Often.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
eb7f5f22-6e29-426d-83a9-91ffe76dbebb,gemma3n:latest,asian,non_first_gen,loans,public,19,modest,never,male,part_time,drinks,smokes,music,science,social,never,empty,usually,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
d02d9f1e-e7da-4979-a931-1cfb6891a7f4,gemma3n:latest,multiracial,first_gen,loans,private,21,low,sometimes,male,full_time,drinks,smokes,music,science,social,never,empty,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.
ab01b1e5-87d1-4a10-b515-6e39c98c7d28,gemma3n:latest,black,non_first_gen,loans,private,16,good,often,female,unemployed,drinks,neither,arts,business,social,often,empty,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
3e63d789-805d-4f44-9bfe-1904c48d3b23,gemma3n:latest,white,first_gen,family_pays,private,16,low,often,male,unemployed,abstains,neither,other,business,reserved,never,empty,usually,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Rarely,Rarely.,Rarely.,Rarely.,Rarely.,Rarely.,Rarely.,Sometimes.,Sometimes.
0dd1c2f4-67b1-4d1f-877a-ab1a2981de2d,gemma3n:latest,white,first_gen,loans,private,20,modest,often,female,full_time,abstains,smokes,sports,science,social,never,excellent,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Often.,Rarely,Sometimes.,Sometimes.,Often,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
37bf8b39-134e-413c-98c4-7719ad9eaf31,gemma3n:latest,white,first_gen,family_pays,private,22,low,sometimes,female,full_time,abstains,smokes,arts,engineering,reserved,often,articulate,always,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely,Rarely.,Rarely.,Sometimes.,Sometimes.,Rarely.,Rarely.,Sometimes.,Sometimes.
2a049e1b-bf8e-4ba5-9c53-23f3b46694e6,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,19,modest,rarely,female,full_time,abstains,smokes,music,business,social,often,struggles,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
4ce10077-41f8-41a5-b1c4-7319eaa4f646,gemma3n:latest,white,non_first_gen,loans,private,21,modest,never,female,full_time,drinks,neither,games,science,reserved,often,apprehensive,usually,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.
df2af561-de2e-42de-a6d0-cac042e4a1f7,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,18,low,often,male,part_time,abstains,vapes,music,arts,social,often,empty,always,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely,Rarely.,Rarely.,Sometimes.,Sometimes.,Rarely,Rarely.,Sometimes.,Sometimes.
98f4a4bc-861d-4413-bd6d-0216d8dc1bd0,gemma3n:latest,multiracial,non_first_gen,family_pays,public,16,modest,often,female,part_time,abstains,neither,games,arts,social,often,struggles,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
1b9c9553-bd3d-4b3b-84bd-cb4014675cba,gemma3n:latest,asian,first_gen,family_pays,private,21,low,rarely,female,unemployed,abstains,vapes,arts,arts,social,often,apprehensive,always,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Rarely,Sometimes.,Rarely,Rarely,Sometimes.,Rarely,Rarely.,Rarely,Rarely,Sometimes.,Sometimes.
337dc6c5-64fc-49c1-9bb0-eefd74b93615,gemma3n:latest,multiracial,non_first_gen,loans,private,16,low,often,male,part_time,abstains,vapes,games,engineering,reserved,never,excellent,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.
7c4f7b41-9fe4-422f-b772-ba03446073dd,gemma3n:latest,black,non_first_gen,pell_eligible,private,23,good,rarely,male,full_time,abstains,vapes,arts,business,reserved,often,excellent,usually,Often.,Often.,Sometimes.,Often,Sometimes.,Sometimes.,Often.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
2f653418-b0ee-41ef-a01c-6aebd9fdbc77,gemma3n:latest,white,first_gen,pell_eligible,private,16,great,rarely,female,unemployed,drinks,neither,sports,math,social,never,apprehensive,usually,Often.,Often.,Sometimes.,Often.,Sometimes.,Sometimes.,Often.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
c7937084-f601-4ee6-9cc9-3d3cfd178f9a,gemma3n:latest,white,non_first_gen,family_pays,public,16,good,never,male,part_time,abstains,neither,arts,business,social,often,apprehensive,always,Often.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
06e0e85c-6fb2-4b4f-8748-0b84973c4a17,gemma3n:latest,asian,first_gen,family_pays,public,19,great,often,male,unemployed,abstains,smokes,games,engineering,reserved,never,apprehensive,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.
dab3c893-d550-4d3c-a2b2-72f12e4371ac,gemma3n:latest,multiracial,non_first_gen,family_pays,public,20,good,never,male,full_time,abstains,smokes,arts,arts,reserved,never,excellent,always,Often.,Often.,Often.,Often.,Sometimes.,Sometimes.,Often.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
504c0490-b7b8-4f49-9a07-2264236fd550,gemma3n:latest,white,first_gen,pell_eligible,public,23,good,often,female,part_time,abstains,neither,sports,business,reserved,often,empty,usually,Often.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
ac3a9def-c7c1-4d9f-8339-0ddff00b1f2b,gemma3n:latest,asian,first_gen,loans,public,22,good,often,male,part_time,drinks,smokes,arts,arts,social,often,struggles,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
f1e5f29b-5e86-4559-8185-537e6036b17e,gemma3n:latest,white,non_first_gen,pell_eligible,public,20,modest,never,male,full_time,drinks,smokes,games,business,social,often,articulate,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Often.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
74a0169b-7289-4947-87d6-33d578966a80,gemma3n:latest,white,first_gen,family_pays,public,19,low,sometimes,female,part_time,drinks,vapes,music,engineering,reserved,never,apprehensive,always,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely,Rarely.,Rarely.,Rarely,Rarely,Rarely.,Rarely.,Sometimes.,Sometimes.
4d8f8508-9506-4332-bcee-ad614f84d4f0,gemma3n:latest,multiracial,first_gen,pell_eligible,public,23,low,never,male,full_time,drinks,vapes,sports,business,social,often,excellent,usually,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
5257da80-121e-4938-9809-aefa23c8b199,gemma3n:latest,black,non_first_gen,loans,public,18,low,sometimes,female,unemployed,drinks,vapes,sports,arts,social,never,articulate,usually,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
30672a16-43bc-451e-b296-6306ff774240,gemma3n:latest,black,first_gen,loans,private,20,modest,rarely,male,full_time,drinks,vapes,other,engineering,social,often,articulate,always,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
7ecd29d8-5e87-4f29-b389-90b6193e0eb5,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,17,great,rarely,male,full_time,abstains,smokes,games,math,reserved,often,excellent,usually,Often.,Often.,Sometimes.,Often.,Sometimes.,Sometimes.,Often.,Rarely.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
4f812218-8fe3-41b4-986c-549c9f53ddcb,gemma3n:latest,white,non_first_gen,family_pays,private,16,great,often,male,full_time,drinks,smokes,sports,arts,reserved,never,apprehensive,usually,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Often.,Rarely,Sometimes.,Sometimes.,Rarely.,Sometimes.,Rarely.,Sometimes.,Sometimes.,Sometimes.
34bc3b81-8cd5-4ef4-a439-e2c430ffc65d,gemma3n:latest,multiracial,first_gen,pell_eligible,public,20,modest,sometimes,male,full_time,drinks,smokes,sports,engineering,social,never,apprehensive,usually,Sometimes.,Often.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.
2de3deb6-50b1-47fe-8856-f38771762d28,gemma3n:latest,multiracial,first_gen,family_pays,public,23,modest,often,female,unemployed,abstains,neither,music,business,reserved,often,apprehensive,usually,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Sometimes.,Rarely,Rarely.,Rarely.,Sometimes,Rarely,Rarely,Rarely.,Sometimes.,Sometimes.
