resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
7d2d465f-3beb-4747-aa80-3480c5c5d269,gemma3n:latest,black,non_first_gen,family_pays,private,18,good,sometimes,male,unemployed,drinks,vapes,arts,science,social,never,struggles,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
eb7f5f22-6e29-426d-83a9-91ffe76dbebb,gemma3n:latest,asian,non_first_gen,loans,public,19,modest,never,male,part_time,drinks,smokes,music,science,social,never,empty,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
d02d9f1e-e7da-4979-a931-1cfb6891a7f4,gemma3n:latest,multiracial,first_gen,loans,private,21,low,sometimes,male,full_time,drinks,smokes,music,science,social,never,empty,always,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3
ab01b1e5-87d1-4a10-b515-6e39c98c7d28,gemma3n:latest,black,non_first_gen,loans,private,16,good,often,female,unemployed,drinks,neither,arts,business,social,often,empty,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
3e63d789-805d-4f44-9bfe-1904c48d3b23,gemma3n:latest,white,first_gen,family_pays,private,16,low,often,male,unemployed,abstains,neither,other,business,reserved,never,empty,usually,3,3,3,3,2,3,3,4,2,4,4,2,2,2,3,3
0dd1c2f4-67b1-4d1f-877a-ab1a2981de2d,gemma3n:latest,white,first_gen,loans,private,20,modest,often,female,full_time,abstains,smokes,sports,science,social,never,excellent,always,3,2,3,3,3,3,4,4,3,3,2,4,3,3,3,3
37bf8b39-134e-413c-98c4-7719ad9eaf31,gemma3n:latest,white,first_gen,family_pays,private,22,low,sometimes,female,full_time,abstains,smokes,arts,engineering,reserved,often,articulate,always,3,3,3,3,3,4,3,4,2,4,3,3,2,2,3,3
2a049e1b-bf8e-4ba5-9c53-23f3b46694e6,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,19,modest,rarely,female,full_time,abstains,smokes,music,business,social,often,struggles,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
4ce10077-41f8-41a5-b1c4-7319eaa4f646,gemma3n:latest,white,non_first_gen,loans,private,21,modest,never,female,full_time,drinks,neither,games,science,reserved,often,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3
df2af561-de2e-42de-a6d0-cac042e4a1f7,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,18,low,often,male,part_time,abstains,vapes,music,arts,social,often,empty,always,3,3,3,3,3,4,3,4,2,4,3,3,2,2,3,3
98f4a4bc-861d-4413-bd6d-0216d8dc1bd0,gemma3n:latest,multiracial,non_first_gen,family_pays,public,16,modest,often,female,part_time,abstains,neither,games,arts,social,often,struggles,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
1b9c9553-bd3d-4b3b-84bd-cb4014675cba,gemma3n:latest,asian,first_gen,family_pays,private,21,low,rarely,female,unemployed,abstains,vapes,arts,arts,social,often,apprehensive,always,3,3,3,3,2,4,3,4,2,3,4,2,2,2,3,3
337dc6c5-64fc-49c1-9bb0-eefd74b93615,gemma3n:latest,multiracial,non_first_gen,loans,private,16,low,often,male,part_time,abstains,vapes,games,engineering,reserved,never,excellent,always,3,2,3,3,3,3,3,4,3,4,3,3,3,2,3,3
7c4f7b41-9fe4-422f-b772-ba03446073dd,gemma3n:latest,black,non_first_gen,pell_eligible,private,23,good,rarely,male,full_time,abstains,vapes,arts,business,reserved,often,excellent,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
2f653418-b0ee-41ef-a01c-6aebd9fdbc77,gemma3n:latest,white,first_gen,pell_eligible,private,16,great,rarely,female,unemployed,drinks,neither,sports,math,social,never,apprehensive,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
c7937084-f601-4ee6-9cc9-3d3cfd178f9a,gemma3n:latest,white,non_first_gen,family_pays,public,16,good,never,male,part_time,abstains,neither,arts,business,social,often,apprehensive,always,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
06e0e85c-6fb2-4b4f-8748-0b84973c4a17,gemma3n:latest,asian,first_gen,family_pays,public,19,great,often,male,unemployed,abstains,smokes,games,engineering,reserved,never,apprehensive,always,3,2,3,3,3,3,3,4,3,3,4,3,2,3,3,3
dab3c893-d550-4d3c-a2b2-72f12e4371ac,gemma3n:latest,multiracial,non_first_gen,family_pays,public,20,good,never,male,full_time,abstains,smokes,arts,arts,reserved,never,excellent,always,4,2,4,2,3,3,4,4,3,3,3,3,3,3,3,3
504c0490-b7b8-4f49-9a07-2264236fd550,gemma3n:latest,white,first_gen,pell_eligible,public,23,good,often,female,part_time,abstains,neither,sports,business,reserved,often,empty,usually,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ac3a9def-c7c1-4d9f-8339-0ddff00b1f2b,gemma3n:latest,asian,first_gen,loans,public,22,good,often,male,part_time,drinks,smokes,arts,arts,social,often,struggles,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
f1e5f29b-5e86-4559-8185-537e6036b17e,gemma3n:latest,white,non_first_gen,pell_eligible,public,20,modest,never,male,full_time,drinks,smokes,games,business,social,often,articulate,always,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
74a0169b-7289-4947-87d6-33d578966a80,gemma3n:latest,white,first_gen,family_pays,public,19,low,sometimes,female,part_time,drinks,vapes,music,engineering,reserved,never,apprehensive,always,3,3,3,3,3,4,3,4,2,4,4,2,2,2,3,3
4d8f8508-9506-4332-bcee-ad614f84d4f0,gemma3n:latest,multiracial,first_gen,pell_eligible,public,23,low,never,male,full_time,drinks,vapes,sports,business,social,often,excellent,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
5257da80-121e-4938-9809-aefa23c8b199,gemma3n:latest,black,non_first_gen,loans,public,18,low,sometimes,female,unemployed,drinks,vapes,sports,arts,social,never,articulate,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
30672a16-43bc-451e-b296-6306ff774240,gemma3n:latest,black,first_gen,loans,private,20,modest,rarely,male,full_time,drinks,vapes,other,engineering,social,often,articulate,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
7ecd29d8-5e87-4f29-b389-90b6193e0eb5,gemma3n:latest,multiracial,non_first_gen,pell_eligible,private,17,great,rarely,male,full_time,abstains,smokes,games,math,reserved,often,excellent,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
4f812218-8fe3-41b4-986c-549c9f53ddcb,gemma3n:latest,white,non_first_gen,family_pays,private,16,great,often,male,full_time,drinks,smokes,sports,arts,reserved,never,apprehensive,usually,3,2,3,3,3,3,4,4,3,3,4,3,2,3,3,3
34bc3b81-8cd5-4ef4-a439-e2c430ffc65d,gemma3n:latest,multiracial,first_gen,pell_eligible,public,20,modest,sometimes,male,full_time,drinks,smokes,sports,engineering,social,never,apprehensive,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
2de3deb6-50b1-47fe-8856-f38771762d28,gemma3n:latest,multiracial,first_gen,family_pays,public,23,modest,often,female,unemployed,abstains,neither,music,business,reserved,often,apprehensive,usually,3,3,3,3,3,3,3,4,2,4,3,2,2,2,3,3
440c9f35-162d-47fd-9b88-6364bc1302ec,gemma3n:latest,black,first_gen,loans,public,16,low,never,male,unemployed,drinks,smokes,arts,math,social,often,empty,always,3,3,3,3,3,4,3,4,2,4,4,3,2,2,3,3
c272dce6-a661-457d-9dfc-7ed79de1132c,gemma3n:latest,asian,non_first_gen,family_pays,private,17,great,sometimes,female,full_time,drinks,smokes,sports,math,reserved,never,excellent,usually,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
8bc7284f-0c5f-4cf1-a885-94a8dc4aabb7,gemma3n:latest,multiracial,first_gen,family_pays,public,19,good,often,female,full_time,abstains,vapes,sports,arts,reserved,never,struggles,usually,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
b66ff71e-6a18-486e-aa45-97409ae73270,gemma3n:latest,asian,non_first_gen,pell_eligible,public,16,low,never,male,full_time,drinks,smokes,arts,science,social,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3
a375959e-facf-4fd7-98b5-9c415d383a32,gemma3n:latest,white,non_first_gen,loans,private,23,good,often,male,part_time,abstains,smokes,music,business,reserved,often,excellent,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
8dbe657b-0c8d-4666-93f6-31d780b0a54f,gemma3n:latest,multiracial,first_gen,pell_eligible,public,20,good,sometimes,male,full_time,abstains,neither,sports,engineering,social,often,articulate,always,4,2,4,2,3,3,4,4,3,3,3,3,3,3,3,3
040e48ad-31ab-404e-88e3-738523ef0638,gemma3n:latest,white,non_first_gen,loans,public,23,great,rarely,female,unemployed,abstains,neither,sports,engineering,social,never,articulate,usually,4,2,4,2,3,2,4,4,4,3,3,3,3,3,3,3
5d8df6b1-3471-4266-ac1e-b42c9bdc8c9c,gemma3n:latest,asian,first_gen,pell_eligible,public,22,good,rarely,female,full_time,drinks,neither,music,engineering,reserved,often,empty,always,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
583cf842-837c-4f1f-b7e7-56954a83d2cc,gemma3n:latest,black,first_gen,pell_eligible,public,17,good,sometimes,male,part_time,drinks,neither,games,arts,social,often,struggles,usually,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
a6f423b7-15f8-497c-bc88-8b970d92d0c0,gemma3n:latest,multiracial,first_gen,loans,private,21,good,sometimes,male,part_time,drinks,neither,sports,math,social,never,articulate,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
d9203594-575d-4111-8c8b-de24d7026efb,gemma3n:latest,multiracial,non_first_gen,family_pays,private,22,low,sometimes,male,part_time,abstains,neither,sports,arts,social,often,excellent,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
a71fc702-677a-4288-8b06-85af51c6b58d,gemma3n:latest,multiracial,non_first_gen,pell_eligible,public,22,great,rarely,male,full_time,drinks,smokes,games,business,reserved,never,articulate,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
fd99415a-2f77-4f06-af8b-b3c66fbf050f,gemma3n:latest,asian,first_gen,loans,private,21,good,often,male,part_time,drinks,neither,music,arts,social,never,empty,always,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
8ffbf909-2780-45c0-acce-254e9f9152ff,gemma3n:latest,white,first_gen,loans,private,16,low,sometimes,female,part_time,abstains,neither,other,engineering,social,often,excellent,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
e68fca46-2858-4dbd-b9e4-e785077c9bf0,gemma3n:latest,white,first_gen,pell_eligible,public,23,low,often,female,unemployed,abstains,vapes,music,arts,social,often,apprehensive,always,3,3,3,3,3,4,3,4,2,4,4,2,2,2,3,4
422205ec-8486-42df-9332-390a3c479b09,gemma3n:latest,asian,non_first_gen,loans,public,23,good,never,male,unemployed,abstains,smokes,arts,science,social,never,apprehensive,usually,4,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3
89755629-8880-4c8c-8fba-e3bc9cbe6b0f,gemma3n:latest,asian,non_first_gen,pell_eligible,private,17,great,sometimes,male,unemployed,drinks,vapes,music,math,social,never,empty,always,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
e45b18b0-4bbe-452c-b142-c034700278d6,gemma3n:latest,white,non_first_gen,loans,private,18,modest,never,male,full_time,abstains,vapes,games,science,reserved,never,empty,usually,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3
f69296e4-0714-4702-a060-c42a8a53107a,gemma3n:latest,black,non_first_gen,pell_eligible,private,21,modest,never,male,full_time,drinks,vapes,arts,science,reserved,often,empty,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
0a9c5d23-1722-4a51-83db-72e347fe938c,gemma3n:latest,multiracial,first_gen,loans,private,18,great,rarely,male,part_time,drinks,vapes,other,engineering,reserved,often,articulate,usually,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
6e971acc-fd80-44ff-a65b-9fb0c9bc0e15,gemma3n:latest,multiracial,first_gen,loans,private,19,good,often,male,unemployed,drinks,vapes,sports,arts,social,often,empty,always,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51cef012-ad9a-4adb-a7b7-298a60e448e3,gemma3n:latest,asian,first_gen,family_pays,private,23,modest,sometimes,male,full_time,drinks,smokes,games,engineering,social,often,excellent,always,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4e37d4c9-1f78-441d-934c-51d7f5db5978,gemma3n:latest,white,first_gen,loans,private,17,great,often,male,part_time,drinks,smokes,games,engineering,social,never,apprehensive,always,4,2,3,3,3,3,4,4,3,3,3,3,2,3,3,3
fed9313d-f84f-4550-a008-e254835154a9,gemma3n:latest,black,first_gen,loans,public,23,modest,rarely,female,part_time,drinks,vapes,games,business,social,never,articulate,always,4,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3
16d4b2ad-c2a2-437c-8fc0-7331a6166f53,gemma3n:latest,black,non_first_gen,family_pays,private,16,low,sometimes,female,unemployed,abstains,smokes,sports,arts,reserved,often,apprehensive,always,3,3,3,4,3,4,3,4,2,4,4,2,2,2,3,3
77a50b7c-0c95-4ec0-98fc-cd938356fa8b,gemma3n:latest,asian,first_gen,pell_eligible,public,18,low,often,male,full_time,drinks,smokes,other,science,social,never,apprehensive,always,3,3,3,3,3,4,3,4,2,4,4,3,2,2,3,3
17549144-abd9-4748-a0d8-8bb0c499418b,gemma3n:latest,black,first_gen,pell_eligible,public,23,low,often,female,part_time,drinks,smokes,other,business,reserved,never,excellent,always,3,2,3,3,3,3,3,4,3,4,3,4,3,3,3,3
8e12f482-6514-4f6a-95d3-0509eaddc4d0,gemma3n:latest,black,first_gen,pell_eligible,public,21,low,sometimes,male,part_time,abstains,smokes,arts,science,social,often,apprehensive,always,3,3,3,3,3,3,3,4,2,4,4,2,2,2,3,3
b625dd8b-a5ec-468d-b4b9-99f62d390266,gemma3n:latest,black,non_first_gen,family_pays,private,19,modest,rarely,female,unemployed,abstains,neither,other,business,reserved,often,empty,usually,3,2,3,3,3,3,3,4,3,3,3,3,2,2,3,3
8bb3329b-e178-484a-9be1-28bcd1550d80,gemma3n:latest,black,first_gen,pell_eligible,private,19,great,never,female,full_time,abstains,smokes,arts,arts,social,often,articulate,usually,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3
e6021bfb-b21b-4064-988b-1c851c20e4e3,gemma3n:latest,white,non_first_gen,family_pays,private,19,low,rarely,male,part_time,abstains,smokes,arts,science,social,often,articulate,always,3,3,3,3,2,4,3,4,2,3,4,3,2,2,3,3
