resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
155747d0-9e40-424d-82af-ff34d1f41050,gemma2:9b,white,non_first_gen,family_pays,public,22,good,rarely,female,unemployed,drinks,neither,sports,arts,reserved,never,struggles,usually,65,36,75,36,85,36,85,36,75,16,26,75
d1dc9bea-b024-42b6-ac63-97067beef3d8,gemma2:9b,multiracial,first_gen,loans,private,23,good,often,female,unemployed,drinks,vapes,sports,math,social,never,empty,always,75,16,75,16,30,26,75,16,35,26,9,30
cf0f4765-fada-48b3-ab1b-35b1db20ed28,gemma2:9b,black,non_first_gen,pell_eligible,private,22,modest,rarely,female,part_time,drinks,vapes,other,business,social,often,apprehensive,usually,75,61,85,36,85,56,85,81,75,36,26,75
a91ab7cb-36f7-4ca5-96df-dbc87701b8a3,gemma2:9b,black,non_first_gen,pell_eligible,public,16,great,never,female,part_time,abstains,neither,music,science,reserved,never,empty,always,75,66,75,76,85,36,85,26,75,16,26,75
ec1045be-eb8a-4c34-ac0b-a022346f47dc,gemma2:9b,multiracial,first_gen,family_pays,private,18,modest,sometimes,female,full_time,drinks,vapes,other,engineering,social,never,apprehensive,always,85,71,85,36,75,56,85,66,75,66,16,75
d0879602-eb42-49bd-af9c-8943f1467123,gemma2:9b,white,non_first_gen,pell_eligible,public,20,good,never,male,full_time,drinks,neither,other,arts,reserved,often,apprehensive,always,85,76,75,76,85,76,85,76,75,76,76,85
6d3e18af-c2c9-48df-b9ae-3e889658cc23,gemma2:9b,asian,non_first_gen,loans,private,16,low,never,male,full_time,drinks,vapes,other,science,social,never,articulate,usually,75,16,65,16,65,26,75,16,58,16,16,65
bdb4eaaa-08eb-41a1-b6b1-2a6da84b3d6d,gemma2:9b,white,non_first_gen,family_pays,public,22,good,never,female,part_time,drinks,smokes,music,arts,reserved,never,empty,always,85,36,65,36,75,36,75,26,45,26,26,25
ae65bd84-d97c-432a-ba30-cc49695c35f3,gemma2:9b,white,non_first_gen,pell_eligible,private,21,great,never,male,full_time,abstains,smokes,music,math,social,never,apprehensive,usually,85,66,75,36,85,66,75,81,75,26,16,75
fa965e91-ceac-48cf-9c20-b9a9265b26a6,gemma2:9b,white,non_first_gen,pell_eligible,public,16,low,rarely,male,unemployed,drinks,neither,sports,business,reserved,often,articulate,always,65,66,65,76,85,66,85,36,65,31,36,65
c10d6f95-9da9-4487-a0ac-e741f5cabedd,gemma2:9b,black,non_first_gen,loans,private,19,modest,never,male,unemployed,abstains,vapes,other,engineering,reserved,often,excellent,usually,75,66,75,66,75,36,85,16,75,26,26,65
39a3450c-8417-4641-8e2d-b24ac111f94a,gemma2:9b,white,non_first_gen,loans,public,19,low,never,male,part_time,abstains,smokes,games,business,social,often,apprehensive,always,85,71,85,41,85,66,85,81,75,71,26,75
f5397588-faf8-4375-a5c7-5fae7afe080a,gemma2:9b,multiracial,non_first_gen,pell_eligible,public,19,good,rarely,male,unemployed,abstains,smokes,music,business,social,never,struggles,usually,75,26,65,26,65,26,75,26,75,26,6,65
7899d31e-6864-4395-9928-c92fd95f1c7a,gemma2:9b,multiracial,non_first_gen,family_pays,public,21,low,often,female,full_time,drinks,smokes,arts,math,social,never,excellent,usually,65,6,75,16,65,26,75,6,35,26,16,30
17ec5f04-1a22-4540-98ea-1179763d8188,gemma2:9b,multiracial,non_first_gen,loans,private,16,great,rarely,male,unemployed,drinks,vapes,sports,engineering,reserved,never,struggles,usually,75,56,75,56,85,56,75,36,75,26,36,75
fd276f47-1353-49e1-8a97-781b87f44eb1,gemma2:9b,asian,first_gen,pell_eligible,public,23,low,often,male,unemployed,drinks,neither,music,science,social,often,excellent,always,65,16,75,26,35,26,85,6,25,26,16,25
a92bd6b4-b14b-4c19-b622-99a3ec6496b0,gemma2:9b,white,non_first_gen,family_pays,public,20,low,sometimes,male,part_time,abstains,smokes,games,math,reserved,never,empty,always,75,66,65,76,85,71,85,71,60,66,56,65
dad5d0dd-c94e-45d2-80e6-6ce8023749fd,gemma2:9b,multiracial,first_gen,pell_eligible,public,19,good,never,male,unemployed,drinks,smokes,arts,arts,reserved,never,struggles,usually,75,36,85,36,75,66,85,71,75,36,26,75
b4098fea-d7f3-472a-a8d4-7aa3855bd0ad,gemma2:9b,black,first_gen,loans,private,18,modest,rarely,male,unemployed,abstains,neither,arts,arts,reserved,often,apprehensive,always,95,76,85,76,85,81,85,86,85,76,86,95
a2e42262-9976-4548-8066-9b5143c328c7,gemma2:9b,asian,non_first_gen,family_pays,private,19,modest,rarely,female,unemployed,drinks,smokes,other,arts,social,often,articulate,always,53,26,65,16,65,26,75,26,25,26,16,35
12a30f9a-0b39-4046-877e-988a84a53ad9,gemma2:9b,white,non_first_gen,pell_eligible,private,16,modest,often,female,full_time,drinks,neither,sports,science,social,often,articulate,usually,65,26,65,26,65,36,75,16,65,16,16,75
105622eb-31b6-4709-a2e8-00583bd81417,gemma2:9b,asian,first_gen,loans,public,20,good,rarely,male,full_time,abstains,neither,other,arts,social,often,empty,usually,65,26,75,16,75,26,75,16,75,16,6,75
3beb9dbd-1456-450c-bb2b-17bdb29b4b10,gemma2:9b,white,first_gen,loans,private,22,modest,often,female,unemployed,abstains,vapes,games,business,social,often,articulate,always,75,26,75,26,65,26,75,26,35,36,16,65
9aa1a368-7ac9-435a-8227-3570a0e4a686,gemma2:9b,asian,first_gen,loans,public,21,modest,never,female,full_time,abstains,smokes,sports,engineering,reserved,often,struggles,always,85,76,85,76,75,71,85,81,85,36,76,85
2db659b1-64e4-4e9e-a0c8-df125f4b0ad7,gemma2:9b,multiracial,first_gen,family_pays,private,21,good,never,female,part_time,drinks,smokes,arts,engineering,reserved,never,apprehensive,usually,85,71,85,81,85,71,85,81,85,66,81,75
8bf0dea9-28b0-4c33-bbaa-5643f70bef84,gemma2:9b,white,first_gen,pell_eligible,public,16,good,sometimes,male,full_time,abstains,smokes,other,arts,reserved,never,struggles,always,75,66,75,56,75,56,85,66,65,26,36,75
3ebeb4c5-c524-4389-a946-dbc39cf66573,gemma2:9b,white,non_first_gen,family_pays,public,22,good,rarely,male,part_time,abstains,smokes,other,arts,social,never,empty,always,65,16,25,16,25,16,65,6,10,16,16,25
35ec9cdc-cda1-40de-860b-5f44b48658f5,gemma2:9b,multiracial,first_gen,pell_eligible,private,23,good,never,female,part_time,drinks,neither,sports,arts,reserved,often,empty,usually,75,56,75,71,75,61,85,71,85,26,56,85
16f831e1-8225-4453-8956-61bb254b14ae,gemma2:9b,asian,first_gen,loans,private,23,low,never,female,full_time,abstains,smokes,arts,math,social,never,excellent,always,23,6,25,16,20,16,65,6,15,16,6,10
e6f64774-60d9-4198-a7dc-2567ccf5d6c5,gemma2:9b,white,first_gen,pell_eligible,private,22,modest,often,female,full_time,drinks,smokes,arts,business,reserved,never,articulate,always,85,66,65,66,85,61,85,36,75,36,26,75
b558070f-ce23-49c2-bd10-86bbc14a68a4,gemma2:9b,black,first_gen,loans,private,17,good,never,male,full_time,abstains,neither,arts,engineering,reserved,often,excellent,usually,75,61,85,56,85,36,85,6,75,26,66,65
5dc58e6c-5e9f-442a-a153-561ea3a432a5,gemma2:9b,white,non_first_gen,pell_eligible,public,16,low,sometimes,male,full_time,abstains,vapes,music,science,reserved,often,articulate,usually,85,56,75,71,85,71,85,71,75,26,66,75
