resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
53755b8f-7f97-4832-9551-b1adb755b0ef,gpt-oss:20b,white,first_gen,pell_eligible,private,16,good,often,female,unemployed,drinks,neither,music,business,social,never,excellent,usually,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree
bf578a3f-c93d-4eaf-a815-d59e7f8f2812,gpt-oss:20b,black,non_first_gen,family_pays,public,21,low,often,female,full_time,drinks,smokes,games,business,social,often,apprehensive,usually,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree
a7460815-1225-4913-a865-7197036743da,gpt-oss:20b,white,first_gen,pell_eligible,private,17,modest,never,female,part_time,abstains,smokes,arts,math,social,often,struggles,always,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree
f9230fc7-81df-4798-8df5-bc7488f577a5,gpt-oss:20b,multiracial,non_first_gen,family_pays,private,20,low,sometimes,male,full_time,abstains,neither,music,engineering,reserved,often,articulate,usually,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree
cc376c03-3446-4aa6-9c31-b5860f5850a0,gpt-oss:20b,multiracial,non_first_gen,loans,private,19,good,never,female,unemployed,drinks,vapes,other,engineering,reserved,never,excellent,usually,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
b4a345e6-8e33-4788-a77d-1ce75a920507,gpt-oss:20b,multiracial,non_first_gen,pell_eligible,private,22,low,sometimes,male,part_time,drinks,smokes,other,business,reserved,often,struggles,usually,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree
a12db666-778d-4664-acfe-a36bc2319b90,gpt-oss:20b,black,first_gen,family_pays,private,23,low,rarely,male,full_time,abstains,smokes,other,science,reserved,often,empty,always,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree
50952077-a7c3-4c6f-841e-b601f8afb9a7,gpt-oss:20b,asian,first_gen,loans,private,22,great,never,male,part_time,abstains,smokes,other,science,social,often,articulate,always,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree
dd9d0c33-bddc-41f8-be43-82384873a887,gpt-oss:20b,asian,non_first_gen,pell_eligible,public,20,modest,rarely,male,full_time,drinks,smokes,games,engineering,reserved,often,excellent,always,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree
2bd969b4-c652-41a4-9448-5398f2011945,gpt-oss:20b,white,first_gen,pell_eligible,public,18,great,sometimes,female,full_time,abstains,smokes,other,arts,reserved,often,struggles,always,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Agree
bf2960f1-33f2-4e8c-89ad-9fe4bc8d518a,gpt-oss:20b,asian,first_gen,family_pays,public,16,great,often,female,full_time,drinks,vapes,games,science,social,never,excellent,always,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
2699d141-3df5-4e85-b0a2-c93f9b4d24ce,gpt-oss:20b,white,first_gen,pell_eligible,private,18,low,often,male,unemployed,drinks,vapes,other,math,reserved,often,excellent,always,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral
a6d0172a-a841-4fb6-920a-ce7a9696c7f0,gpt-oss:20b,asian,first_gen,loans,public,19,good,rarely,female,unemployed,abstains,neither,other,math,social,never,struggles,always,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree
cf39989a-ac26-4ac5-b163-54529633a9a7,gpt-oss:20b,asian,first_gen,loans,private,22,great,rarely,male,full_time,abstains,vapes,other,arts,reserved,often,empty,usually,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree
9f219124-b14a-4993-9094-88deb86c5d40,gpt-oss:20b,white,first_gen,pell_eligible,public,21,low,rarely,female,unemployed,abstains,smokes,games,arts,reserved,never,apprehensive,always,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
616a148f-0feb-4fe3-b984-af9517208530,gpt-oss:20b,black,first_gen,family_pays,public,19,modest,sometimes,male,part_time,abstains,smokes,music,math,reserved,never,articulate,always,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree
b2ac3f6a-6e54-4ee8-8b18-a15286a88a27,gpt-oss:20b,black,first_gen,loans,public,23,good,often,female,unemployed,drinks,vapes,sports,arts,social,never,empty,usually,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree
7ed3132f-dcf8-400d-89a1-9a50a79213ed,gpt-oss:20b,black,non_first_gen,family_pays,public,22,good,sometimes,male,unemployed,drinks,smokes,other,business,social,often,excellent,usually,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral
37e892db-0124-4939-bfc2-4fabb96e2881,gpt-oss:20b,asian,first_gen,pell_eligible,public,20,good,often,male,unemployed,abstains,neither,other,engineering,social,never,empty,always,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree
ee5ab30b-4d8b-4080-a1c7-9dcf84d59f7b,gpt-oss:20b,multiracial,non_first_gen,pell_eligible,public,21,good,sometimes,male,part_time,drinks,smokes,arts,arts,reserved,never,apprehensive,usually,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree
06950b29-1a92-487c-af99-04cd111f44c0,gpt-oss:20b,white,first_gen,loans,private,20,good,often,male,part_time,drinks,smokes,sports,arts,social,never,articulate,always,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree
