resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
ca56fddf-cf52-4bc6-adad-5ccb926a8e3e,gpt-oss:20b,asian,non_first_gen,pell_eligible,public,19,low,rarely,male,full_time,abstains,neither,other,math,reserved,never,excellent,always,Often,Often,Often,Often,Often,Often,Often,Always,Often,Always,Sometimes,Sometimes
9d02d6fb-e868-4a14-815b-7cfed864eb66,gpt-oss:20b,black,non_first_gen,loans,private,19,good,sometimes,female,full_time,abstains,vapes,games,arts,reserved,often,apprehensive,usually,Often,Often,Often,Sometimes,Often,Rarely,Often,Always,Often,Often,Rarely,Often
1a4ec8b1-0106-4f05-adba-17673850ba5b,gpt-oss:20b,asian,non_first_gen,loans,public,23,low,never,female,full_time,abstains,smokes,music,science,reserved,often,excellent,usually,Always,Often,Sometimes,Sometimes,Often,Sometimes,Often,Always,Often,Always,Often,Often
e59bdbe4-0c69-4ba5-92a4-4fbba640dfff,gpt-oss:20b,multiracial,first_gen,loans,public,16,great,often,male,part_time,drinks,vapes,arts,engineering,reserved,often,apprehensive,always,Often,Sometimes,Often,Often,Often,Rarely,Often,Rarely,Often,Rarely,Rarely,Often
e46196bd-caad-43e0-bc62-5e0bded84f7d,gpt-oss:20b,asian,non_first_gen,loans,public,21,modest,rarely,male,part_time,drinks,neither,arts,arts,social,never,excellent,always,Never,Often,Rarely,Often,Never,Always,Sometimes,Always,Rarely,Always,Often,Never
46e15d83-849c-4892-a4c3-69d640c7cefe,gpt-oss:20b,asian,first_gen,loans,private,18,modest,often,male,part_time,drinks,neither,sports,business,reserved,often,excellent,always,Sometimes,Always,Sometimes,Often,Often,Often,Sometimes,Always,Often,Sometimes,Sometimes,Rarely
400e9153-d213-44c5-bbd1-ab3554dd0e66,gpt-oss:20b,multiracial,first_gen,loans,public,19,modest,rarely,female,unemployed,drinks,smokes,other,engineering,social,never,articulate,usually,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Always,Often,Often,Often,Sometimes
25461a4c-ee5c-4106-83e4-fed97e8436a5,gpt-oss:20b,asian,first_gen,family_pays,public,21,low,often,female,unemployed,drinks,neither,other,business,reserved,never,articulate,always,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Always,Often,Often,Sometimes,Often
f551d792-ba2f-4ca6-8cc2-9521bb7ea266,gpt-oss:20b,asian,first_gen,pell_eligible,public,23,modest,rarely,female,part_time,abstains,smokes,music,science,reserved,never,struggles,usually,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes,Often,Often,Sometimes,Often
31071b42-7303-4492-b8d9-6e9029195d7b,gpt-oss:20b,multiracial,non_first_gen,pell_eligible,private,18,great,sometimes,male,full_time,drinks,smokes,music,engineering,reserved,often,excellent,always,Rarely,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes
6b37ddec-362b-41bc-88b4-0cfd4914c9ba,gpt-oss:20b,black,non_first_gen,pell_eligible,public,18,low,rarely,female,full_time,drinks,vapes,games,science,reserved,often,excellent,usually,Always,Often,Sometimes,Often,Often,Always,Often,Always,Often,Often,Often,Often
f8462ee7-bba0-4586-8c94-f0cf860bb187,gpt-oss:20b,white,first_gen,loans,public,23,good,often,male,part_time,abstains,vapes,music,business,reserved,never,apprehensive,usually,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Often
8abd6adf-36d9-441c-8486-f7b6d8842dbb,gpt-oss:20b,multiracial,first_gen,pell_eligible,public,20,modest,sometimes,female,part_time,abstains,vapes,sports,arts,social,never,struggles,always,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Always,Often,Often,Often,Rarely
5e0e7898-fa61-48b2-a47b-80270f98d743,gpt-oss:20b,asian,first_gen,family_pays,private,18,great,sometimes,male,part_time,abstains,neither,music,engineering,social,never,excellent,usually,Rarely,Always,Rarely,Always,Never,Always,Rarely,Always,Sometimes,Often,Always,Sometimes
d99d9dff-af83-47ba-a170-f5ff387a3b84,gpt-oss:20b,asian,non_first_gen,pell_eligible,public,19,low,never,male,unemployed,drinks,neither,sports,business,social,often,excellent,usually,Often,Often,Often,Often,Sometimes,Always,Often,Always,Sometimes,Often,Often,Rarely
b44b816f-203e-448a-ac32-5600da5a538f,gpt-oss:20b,white,non_first_gen,family_pays,private,22,modest,sometimes,male,unemployed,abstains,smokes,music,arts,reserved,often,excellent,usually,Often,Often,Often,Often,Often,Often,Sometimes,Always,Often,Often,Sometimes,Often
1e27d71d-ba42-4ad1-bd75-254c1509a4ed,gpt-oss:20b,black,non_first_gen,pell_eligible,public,22,modest,often,male,part_time,abstains,smokes,games,arts,social,never,struggles,usually,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Always,Often,Often,Often,Often
e3140df9-304a-45ab-8cb2-4eb6b0aabd5c,gpt-oss:20b,asian,non_first_gen,pell_eligible,public,17,good,often,male,full_time,abstains,smokes,music,engineering,social,never,empty,always,Always,Often,Often,Often,Often,Often,Sometimes,Often,Always,Always,Often,Sometimes
9af42c21-a22f-4cd2-b8ab-f98c167832c7,gpt-oss:20b,white,first_gen,pell_eligible,public,18,good,rarely,female,unemployed,drinks,neither,arts,engineering,social,never,struggles,always,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Always,Often,Always,Often,Sometimes
02314813-93e9-47ba-a4b3-c9f6c060fbb5,gpt-oss:20b,asian,first_gen,loans,public,19,low,never,female,unemployed,abstains,neither,other,math,social,never,empty,usually,Often,Often,Often,Often,Sometimes,Often,Often,Always,Often,Often,Often,Sometimes
1256b08e-c35c-4412-bccf-b099d09623b2,gpt-oss:20b,black,non_first_gen,loans,private,16,great,rarely,female,unemployed,drinks,smokes,music,math,reserved,often,apprehensive,usually,Often,Often,Often,Sometimes,Often,Rarely,Often,Rarely,Often,Often,Rarely,Often
78372cde-eac8-478c-ad28-b6379ccdbc33,gpt-oss:20b,asian,first_gen,pell_eligible,private,21,good,sometimes,female,part_time,drinks,neither,music,arts,reserved,often,apprehensive,always,Often,Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes,Often,Often,Rarely,Often
ebb3af1f-3780-4769-af1d-6ed79624fa09,gpt-oss:20b,white,non_first_gen,pell_eligible,public,21,great,never,female,unemployed,abstains,smokes,sports,math,reserved,never,articulate,usually,Often,Often,Often,Often,Often,Often,Sometimes,Always,Often,Always,Sometimes,Often
3e4fc697-25cf-4881-9aaf-3d2e4ceb0c35,gpt-oss:20b,multiracial,non_first_gen,family_pays,private,23,low,never,female,full_time,abstains,neither,music,science,social,never,empty,always,Always,Often,Sometimes,Often,Rarely,Always,Sometimes,Always,Often,Always,Often,Sometimes
c7fd7ea5-6360-45c2-922c-c6141af952b4,gpt-oss:20b,black,non_first_gen,loans,public,22,great,rarely,female,full_time,abstains,vapes,games,business,reserved,never,excellent,usually,Rarely,Often,Rarely,Often,Often,Always,Sometimes,Always,Sometimes,Often,Often,Sometimes
