row,resid,question,original_response,nan_reason
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q2,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q2,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q2,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q2,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q3,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q3,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q3,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q3,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q3,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q4,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q4,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q4,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q4,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q4,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q4,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q5,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q5,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q5,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q5,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q5,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q5,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q6,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q6,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q6,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q6,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q6,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q6,,Left blank / originally empty
