resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
91ede4dd-3593-432b-976c-ad1d54a0ea3d,llama3.1:8b,multiracial,first_gen,pell_eligible,private,23,great,never,female,full_time,drinks,vapes,games,science,social,often,empty,usually,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
4bcd3922-bd17-4349-b326-4c706554dd89,llama3.1:8b,black,non_first_gen,pell_eligible,public,17,modest,often,male,full_time,abstains,vapes,arts,math,social,often,excellent,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
4e212413-2733-4364-83bb-2545b316c60a,llama3.1:8b,white,non_first_gen,pell_eligible,public,19,great,sometimes,male,part_time,drinks,smokes,games,business,social,often,struggles,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
cfffc80a-d3ae-49b7-990c-acbb841668bd,llama3.1:8b,white,first_gen,pell_eligible,private,17,great,rarely,male,full_time,drinks,neither,sports,arts,reserved,never,apprehensive,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes
094848bd-cdfe-4584-9f63-1ee36373100b,llama3.1:8b,asian,first_gen,loans,private,18,good,never,male,unemployed,drinks,smokes,games,business,reserved,often,empty,always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely
67659675-4a34-460b-8413-bc93916ab106,llama3.1:8b,multiracial,non_first_gen,pell_eligible,public,21,modest,often,male,unemployed,drinks,neither,sports,engineering,reserved,never,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
f6b73771-b040-4b68-a4f2-b519d166ef91,llama3.1:8b,multiracial,non_first_gen,pell_eligible,private,19,modest,rarely,male,unemployed,abstains,smokes,other,math,social,often,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes
58d3424f-11b1-4991-a421-c3da9cb29cb9,llama3.1:8b,multiracial,first_gen,loans,public,23,good,sometimes,male,part_time,abstains,neither,other,math,social,never,articulate,always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
97bf6a6c-c04c-4bea-a7e5-ca9c3e36e1e0,llama3.1:8b,asian,first_gen,family_pays,private,19,modest,never,female,full_time,drinks,neither,other,business,reserved,never,articulate,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
0a8e8d11-6859-4eb2-b687-31d859f1ce1b,llama3.1:8b,multiracial,first_gen,family_pays,public,22,good,sometimes,male,part_time,drinks,neither,games,engineering,reserved,never,struggles,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
f3e18225-c8ff-4474-8d7f-003e3a7b056f,llama3.1:8b,white,non_first_gen,loans,private,17,great,never,male,part_time,abstains,neither,music,engineering,social,never,struggles,always,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
7f04f780-697b-4abd-9bf9-1c136c0b9ae0,llama3.1:8b,black,first_gen,pell_eligible,private,18,great,never,male,full_time,drinks,neither,games,business,reserved,never,struggles,usually,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
