resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
8eb772f9-b865-4c22-9595-477c90eb6959,llama3.1:8b,asian,non_first_gen,pell_eligible,public,23,low,never,male,unemployed,abstains,neither,other,business,social,often,articulate,usually,20,80,20,90,60,40,80,60,20,60,80,30
710b049f-6ea2-4d48-8cac-5c817ba0d0da,llama3.1:8b,black,first_gen,family_pays,public,16,low,never,male,full_time,abstains,vapes,games,arts,social,never,excellent,always,50,90,50,80,5,95,10,90,5,70,80,20
1dcfd736-6bc5-49da-b649-12ea7f0852dd,llama3.1:8b,multiracial,first_gen,pell_eligible,public,18,modest,sometimes,female,full_time,abstains,vapes,sports,science,reserved,often,empty,usually,80,20,60,40,80,20,80,20,60,20,20,60
259b264c-9104-4105-bd85-446a6a5b8f43,llama3.1:8b,black,first_gen,loans,private,16,modest,often,female,full_time,drinks,smokes,music,math,social,often,excellent,usually,40,80,20,90,60,60,70,95,20,20,80,20
8b608b31-768d-4c8d-ba84-0b099f91a5a8,llama3.1:8b,white,non_first_gen,family_pays,public,19,great,often,female,unemployed,drinks,vapes,sports,engineering,social,never,excellent,usually,50,95,20,95,20,60,50,98,5,35,80,10
fa362607-587a-4e82-b9d4-bc4e9a59c73f,llama3.1:8b,white,non_first_gen,loans,private,16,low,sometimes,male,full_time,abstains,smokes,music,business,social,never,excellent,always,30,90,40,80,20,60,20,90,40,45,98,20
b396d4f7-bd08-4a9d-8de5-024154f5e6c8,llama3.1:8b,white,first_gen,pell_eligible,public,23,good,often,female,part_time,drinks,smokes,music,math,reserved,often,empty,always,65,25,60,20,80,20,90,20,78,12,40,60
93358c72-f292-4941-85e5-b02bc565c152,llama3.1:8b,multiracial,first_gen,pell_eligible,private,17,modest,never,female,unemployed,abstains,vapes,games,math,social,never,articulate,always,15,90,45,90,5,80,20,80,50,60,95,25
600e31a0-e976-4572-99eb-9396f930b44e,llama3.1:8b,asian,non_first_gen,loans,private,22,great,never,female,part_time,abstains,smokes,music,arts,reserved,often,apprehensive,always,60,20,80,22,80,20,85,30,75,20,30,60
57ff1c4f-edb2-4016-ad43-a25243076074,llama3.1:8b,asian,non_first_gen,pell_eligible,private,20,good,often,male,part_time,abstains,neither,music,business,social,never,empty,usually,23,85,60,80,30,60,20,80,20,70,95,40
62a5a6c3-b747-4714-88a6-bfbbbe910653,llama3.1:8b,multiracial,non_first_gen,loans,public,20,modest,sometimes,male,unemployed,drinks,neither,sports,engineering,reserved,never,excellent,usually,20,40,40,85,80,50,80,98,5,60,60,30
47990b36-b837-40c2-982d-e03fd3dfd366,llama3.1:8b,black,first_gen,loans,private,22,low,often,female,unemployed,abstains,smokes,sports,business,social,never,empty,always,5,80,30,95,30,20,20,20,20,5,80,20
f8bf95aa-8c29-4552-b1fa-3df9d4461323,llama3.1:8b,asian,non_first_gen,family_pays,private,21,great,often,male,full_time,drinks,smokes,sports,arts,reserved,often,empty,always,20,30,40,20,60,20,80,20,60,22,10,20
8f297c1b-a80e-4f5f-86ff-9f34d89c7e3b,llama3.1:8b,multiracial,first_gen,pell_eligible,private,23,good,sometimes,female,part_time,drinks,neither,games,science,reserved,often,empty,always,70,60,80,40,60,45,80,50,30,20,30,60
2ff630a9-5962-4cfc-8b97-43d083783177,llama3.1:8b,black,non_first_gen,pell_eligible,private,22,good,rarely,female,full_time,abstains,neither,sports,science,reserved,never,articulate,usually,50,60,40,80,60,60,50,20,30,80,20,30
05373b7b-a579-42b0-b9d6-6a7ee419ea14,llama3.1:8b,asian,non_first_gen,loans,public,18,low,often,male,unemployed,drinks,vapes,music,business,reserved,often,empty,usually,30,20,80,20,80,20,80,20,60,20,5,50
bce2b4ad-9a5f-400a-994a-7e161cb720a9,llama3.1:8b,asian,first_gen,family_pays,private,17,great,never,male,full_time,abstains,vapes,arts,science,social,never,excellent,usually,60,95,30,90,20,60,20,95,30,95,98,2
749ecb6f-df10-4fdf-bbee-9f11dbcffa37,llama3.1:8b,asian,first_gen,family_pays,public,23,modest,never,male,full_time,drinks,neither,other,engineering,social,often,empty,usually,40,80,50,80,20,80,60,50,5,80,80,20
8f9ab6f8-0a08-456b-b54a-fc3460a03efc,llama3.1:8b,asian,first_gen,pell_eligible,public,19,modest,never,male,unemployed,abstains,smokes,sports,arts,reserved,never,empty,usually,60,20,30,60,85,20,60,30,30,70,20,60
49485fc8-f238-4cc7-b1a6-6e0b71afea76,llama3.1:8b,multiracial,first_gen,pell_eligible,private,22,good,never,female,full_time,drinks,vapes,arts,arts,social,never,struggles,usually,20,80,50,90,20,80,30,60,5,95,90,30
036d506e-27b2-46e7-95cc-d5bc3313ef64,llama3.1:8b,black,non_first_gen,pell_eligible,private,18,low,sometimes,female,part_time,drinks,neither,music,engineering,reserved,never,struggles,usually,60,20,60,30,80,20,60,20,20,30,80,70
55d6561b-4a47-4868-82fe-c04369649c49,llama3.1:8b,black,non_first_gen,family_pays,private,16,great,often,male,part_time,abstains,neither,arts,arts,social,often,struggles,always,30,75,20,80,2,25,20,20,30,20,70,20
55b7246b-3b37-4008-9c79-0874baa0f160,llama3.1:8b,multiracial,non_first_gen,loans,private,21,modest,rarely,male,unemployed,drinks,smokes,music,arts,reserved,often,empty,always,5,12,40,30,70,20,75,20,35,40,20,45
a5d85c04-b10d-46ae-8141-c805feb3baae,llama3.1:8b,black,first_gen,loans,public,16,modest,never,female,unemployed,abstains,neither,other,business,social,often,apprehensive,always,60,40,60,60,75,40,60,40,80,20,20,50
d249f912-17a5-4a2c-bbfd-400a299bc8e9,llama3.1:8b,white,first_gen,family_pays,private,17,low,never,male,part_time,abstains,vapes,music,engineering,social,often,empty,always,3,80,5,95,5,40,20,50,5,70,80,5
ff504ebd-89fc-4ad2-8837-67fcfbce8975,llama3.1:8b,black,first_gen,loans,private,17,modest,often,female,part_time,abstains,vapes,sports,business,reserved,often,empty,usually,60,20,60,60,80,20,80,20,80,22,2,60
1b3493ee-3759-4d50-a6b4-979b6bcd1764,llama3.1:8b,multiracial,first_gen,pell_eligible,public,16,modest,rarely,male,full_time,drinks,smokes,sports,science,reserved,never,struggles,usually,25,30,60,30,70,20,75,20,30,60,70,60
efa0912f-5d6b-417d-9872-1c9c16aa1228,llama3.1:8b,multiracial,first_gen,pell_eligible,public,20,modest,sometimes,male,part_time,abstains,neither,music,engineering,reserved,often,articulate,always,20,30,60,40,80,40,80,40,30,20,30,75
dbcb1ca1-1397-43fb-8c3d-e7952395461d,llama3.1:8b,asian,first_gen,pell_eligible,private,20,great,never,male,part_time,drinks,neither,music,science,social,never,excellent,usually,20,95,30,95,2,80,5,90,25,80,90,10
99f4890e-1df6-416a-ba85-aef84722b9b7,llama3.1:8b,black,first_gen,family_pays,public,19,low,sometimes,female,part_time,abstains,vapes,music,engineering,social,never,articulate,usually,20,80,25,85,20,70,20,80,25,20,90,60
5847e5b6-d253-47a7-840d-82cbc738eb75,llama3.1:8b,multiracial,non_first_gen,loans,private,23,low,often,male,full_time,abstains,vapes,sports,math,reserved,often,apprehensive,always,85,25,60,10,70,30,80,0,75,50,20,75
d97afced-e501-456e-9e73-5d2c8cfbe5ca,llama3.1:8b,multiracial,first_gen,pell_eligible,private,21,modest,sometimes,female,unemployed,drinks,vapes,games,business,reserved,never,excellent,usually,40,30,50,60,85,60,60,90,20,20,90,20
8e698eeb-a187-41f8-ba28-49f988548b6b,llama3.1:8b,black,first_gen,family_pays,public,19,modest,rarely,female,full_time,drinks,smokes,games,business,reserved,often,articulate,always,50,30,60,40,80,30,80,60,20,60,50,30
