resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
8eb772f9-b865-4c22-9595-477c90eb6959,llama3.1:8b,asian,non_first_gen,pell_eligible,public,23,low,never,male,unemployed,abstains,neither,other,business,social,often,articulate,usually,20,21,20,11,60,61,80,41,20,41,21,30
710b049f-6ea2-4d48-8cac-5c817ba0d0da,llama3.1:8b,black,first_gen,family_pays,public,16,low,never,male,full_time,abstains,vapes,games,arts,social,never,excellent,always,50,11,50,21,5,6,10,11,5,31,21,20
1dcfd736-6bc5-49da-b649-12ea7f0852dd,llama3.1:8b,multiracial,first_gen,pell_eligible,public,18,modest,sometimes,female,full_time,abstains,vapes,sports,science,reserved,often,empty,usually,80,81,60,61,80,81,80,81,60,81,81,60
259b264c-9104-4105-bd85-446a6a5b8f43,llama3.1:8b,black,first_gen,loans,private,16,modest,often,female,full_time,drinks,smokes,music,math,social,often,excellent,usually,40,21,20,11,60,41,70,6,20,81,21,20
8b608b31-768d-4c8d-ba84-0b099f91a5a8,llama3.1:8b,white,non_first_gen,family_pays,public,19,great,often,female,unemployed,drinks,vapes,sports,engineering,social,never,excellent,usually,50,6,20,6,20,41,50,3,5,66,21,10
fa362607-587a-4e82-b9d4-bc4e9a59c73f,llama3.1:8b,white,non_first_gen,loans,private,16,low,sometimes,male,full_time,abstains,smokes,music,business,social,never,excellent,always,30,11,40,21,20,41,20,11,40,56,3,20
b396d4f7-bd08-4a9d-8de5-024154f5e6c8,llama3.1:8b,white,first_gen,pell_eligible,public,23,good,often,female,part_time,drinks,smokes,music,math,reserved,often,empty,always,65,76,60,81,80,81,90,81,78,89,61,60
93358c72-f292-4941-85e5-b02bc565c152,llama3.1:8b,multiracial,first_gen,pell_eligible,private,17,modest,never,female,unemployed,abstains,vapes,games,math,social,never,articulate,always,15,11,45,11,5,21,20,21,50,41,6,25
600e31a0-e976-4572-99eb-9396f930b44e,llama3.1:8b,asian,non_first_gen,loans,private,22,great,never,female,part_time,abstains,smokes,music,arts,reserved,often,apprehensive,always,60,81,80,79,80,81,85,71,75,81,71,60
57ff1c4f-edb2-4016-ad43-a25243076074,llama3.1:8b,asian,non_first_gen,pell_eligible,private,20,good,often,male,part_time,abstains,neither,music,business,social,never,empty,usually,23,16,60,21,30,41,20,21,20,31,6,40
62a5a6c3-b747-4714-88a6-bfbbbe910653,llama3.1:8b,multiracial,non_first_gen,loans,public,20,modest,sometimes,male,unemployed,drinks,neither,sports,engineering,reserved,never,excellent,usually,20,61,40,16,80,51,80,3,5,41,41,30
47990b36-b837-40c2-982d-e03fd3dfd366,llama3.1:8b,black,first_gen,loans,private,22,low,often,female,unemployed,abstains,smokes,sports,business,social,never,empty,always,5,21,30,6,30,81,20,81,20,96,21,20
f8bf95aa-8c29-4552-b1fa-3df9d4461323,llama3.1:8b,asian,non_first_gen,family_pays,private,21,great,often,male,full_time,drinks,smokes,sports,arts,reserved,often,empty,always,20,71,40,81,60,81,80,81,60,79,91,20
8f297c1b-a80e-4f5f-86ff-9f34d89c7e3b,llama3.1:8b,multiracial,first_gen,pell_eligible,private,23,good,sometimes,female,part_time,drinks,neither,games,science,reserved,often,empty,always,70,41,80,61,60,56,80,51,30,81,71,60
2ff630a9-5962-4cfc-8b97-43d083783177,llama3.1:8b,black,non_first_gen,pell_eligible,private,22,good,rarely,female,full_time,abstains,neither,sports,science,reserved,never,articulate,usually,50,41,40,21,60,41,50,81,30,21,81,30
05373b7b-a579-42b0-b9d6-6a7ee419ea14,llama3.1:8b,asian,non_first_gen,loans,public,18,low,often,male,unemployed,drinks,vapes,music,business,reserved,often,empty,usually,30,81,80,81,80,81,80,81,60,81,96,50
bce2b4ad-9a5f-400a-994a-7e161cb720a9,llama3.1:8b,asian,first_gen,family_pays,private,17,great,never,male,full_time,abstains,vapes,arts,science,social,never,excellent,usually,60,6,30,11,20,41,20,6,30,6,3,2
749ecb6f-df10-4fdf-bbee-9f11dbcffa37,llama3.1:8b,asian,first_gen,family_pays,public,23,modest,never,male,full_time,drinks,neither,other,engineering,social,often,empty,usually,40,21,50,21,20,21,60,51,5,21,21,20
8f9ab6f8-0a08-456b-b54a-fc3460a03efc,llama3.1:8b,asian,first_gen,pell_eligible,public,19,modest,never,male,unemployed,abstains,smokes,sports,arts,reserved,never,empty,usually,60,81,30,41,85,81,60,71,30,31,81,60
49485fc8-f238-4cc7-b1a6-6e0b71afea76,llama3.1:8b,multiracial,first_gen,pell_eligible,private,22,good,never,female,full_time,drinks,vapes,arts,arts,social,never,struggles,usually,20,21,50,11,20,21,30,41,5,6,11,30
036d506e-27b2-46e7-95cc-d5bc3313ef64,llama3.1:8b,black,non_first_gen,pell_eligible,private,18,low,sometimes,female,part_time,drinks,neither,music,engineering,reserved,never,struggles,usually,60,81,60,71,80,81,60,81,20,71,21,70
55d6561b-4a47-4868-82fe-c04369649c49,llama3.1:8b,black,non_first_gen,family_pays,private,16,great,often,male,part_time,abstains,neither,arts,arts,social,often,struggles,always,30,26,20,21,2,76,20,81,30,81,31,20
55b7246b-3b37-4008-9c79-0874baa0f160,llama3.1:8b,multiracial,non_first_gen,loans,private,21,modest,rarely,male,unemployed,drinks,smokes,music,arts,reserved,often,empty,always,5,89,40,71,70,81,75,81,35,61,81,45
a5d85c04-b10d-46ae-8141-c805feb3baae,llama3.1:8b,black,first_gen,loans,public,16,modest,never,female,unemployed,abstains,neither,other,business,social,often,apprehensive,always,60,61,60,41,75,61,60,61,80,81,81,50
d249f912-17a5-4a2c-bbfd-400a299bc8e9,llama3.1:8b,white,first_gen,family_pays,private,17,low,never,male,part_time,abstains,vapes,music,engineering,social,often,empty,always,3,21,5,6,5,61,20,51,5,31,21,5
ff504ebd-89fc-4ad2-8837-67fcfbce8975,llama3.1:8b,black,first_gen,loans,private,17,modest,often,female,part_time,abstains,vapes,sports,business,reserved,often,empty,usually,60,81,60,41,80,81,80,81,80,79,99,60
1b3493ee-3759-4d50-a6b4-979b6bcd1764,llama3.1:8b,multiracial,first_gen,pell_eligible,public,16,modest,rarely,male,full_time,drinks,smokes,sports,science,reserved,never,struggles,usually,25,71,60,71,70,81,75,81,30,41,31,60
efa0912f-5d6b-417d-9872-1c9c16aa1228,llama3.1:8b,multiracial,first_gen,pell_eligible,public,20,modest,sometimes,male,part_time,abstains,neither,music,engineering,reserved,often,articulate,always,20,71,60,61,80,61,80,61,30,81,71,75
dbcb1ca1-1397-43fb-8c3d-e7952395461d,llama3.1:8b,asian,first_gen,pell_eligible,private,20,great,never,male,part_time,drinks,neither,music,science,social,never,excellent,usually,20,6,30,6,2,21,5,11,25,21,11,10
