resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
90d4bd13-c577-46a4-8bb9-daf44366c667,llava-llama3:latest,asian,first_gen,pell_eligible,public,18,great,rarely,male,full_time,abstains,smokes,arts,science,reserved,often,excellent,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
1feb006b-d28d-4206-96d0-0474d35b7d7b,llava-llama3:latest,black,first_gen,loans,public,21,modest,rarely,male,unemployed,drinks,neither,sports,math,reserved,never,excellent,usually,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
b36b9ce2-47cd-4d6c-8bd2-137949cdf59a,llava-llama3:latest,white,non_first_gen,family_pays,private,20,good,never,female,part_time,abstains,smokes,arts,arts,reserved,never,struggles,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
adb3ed80-11c3-47d0-ae02-f7fb4543fd4b,llava-llama3:latest,multiracial,first_gen,pell_eligible,public,21,good,never,female,part_time,drinks,smokes,arts,math,social,never,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
6ad419cc-d196-4b87-878b-837f7b6f5f4b,llava-llama3:latest,asian,first_gen,family_pays,public,16,modest,never,female,part_time,drinks,smokes,music,science,reserved,never,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Sometimes
ee5cbd14-1622-4fe0-a060-4634f02ceac0,llava-llama3:latest,black,first_gen,loans,private,22,great,sometimes,female,unemployed,abstains,neither,sports,math,social,often,apprehensive,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
f9dfdeba-0129-4b32-921f-4c10c16c36d1,llava-llama3:latest,black,non_first_gen,pell_eligible,private,20,great,rarely,male,full_time,abstains,smokes,games,engineering,reserved,never,apprehensive,always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
458e80a6-d034-4f3a-98ed-d52ba5b51636,llava-llama3:latest,black,first_gen,pell_eligible,public,19,great,never,male,unemployed,abstains,neither,other,math,reserved,never,struggles,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
bf38c608-6c06-4981-a433-ddc12e7dfcaa,llava-llama3:latest,asian,non_first_gen,loans,private,18,low,sometimes,female,unemployed,abstains,vapes,games,science,reserved,often,struggles,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
ee0c1fe4-e5a3-42dc-a594-93b8db2112be,llava-llama3:latest,black,first_gen,family_pays,public,18,modest,never,female,part_time,drinks,vapes,sports,engineering,reserved,often,excellent,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
3af4938d-44da-4c3d-8044-8617b451e4b8,llava-llama3:latest,asian,non_first_gen,loans,public,20,good,sometimes,male,full_time,drinks,neither,arts,arts,social,often,excellent,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
ff174631-ff59-439b-9ce0-1d0342f55941,llava-llama3:latest,black,first_gen,pell_eligible,private,21,low,rarely,female,unemployed,drinks,neither,games,math,reserved,never,excellent,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
0bc31ccd-058f-4237-a314-1928c366c6eb,llava-llama3:latest,multiracial,first_gen,loans,public,20,great,rarely,female,unemployed,abstains,vapes,arts,science,reserved,often,empty,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
