resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
e9594637-a2ec-4a50-a858-71c11399cbfe,mistral:latest,white,first_gen,pell_eligible,private,16,low,rarely,male,unemployed,drinks,smokes,other,business,social,often,apprehensive,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
d51cd64a-bab0-4431-b0ad-5529d776219d,mistral:latest,white,non_first_gen,pell_eligible,public,22,great,sometimes,female,unemployed,drinks,neither,music,business,social,often,apprehensive,always,Sometimes,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
787ef4de-31ef-46ce-8d9c-919ee248d804,mistral:latest,multiracial,non_first_gen,pell_eligible,private,22,low,rarely,female,full_time,abstains,smokes,games,math,social,never,articulate,always,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
b075d642-1f27-478b-9556-358e63334e3a,mistral:latest,asian,non_first_gen,loans,private,19,great,rarely,male,full_time,abstains,neither,music,arts,social,never,apprehensive,usually,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
436e043d-2f27-4bdb-ab1f-0e7e0d6fd15d,mistral:latest,black,non_first_gen,loans,public,18,good,rarely,male,part_time,drinks,vapes,music,arts,reserved,never,empty,always,Always,Always,Often,Sometimes,Often,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
80077b2a-f193-4056-9b1c-22acd8f985f7,mistral:latest,white,first_gen,pell_eligible,public,20,good,often,female,full_time,abstains,smokes,sports,arts,social,never,apprehensive,usually,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
8ae74953-89f0-45c4-b785-a911c68f14e1,mistral:latest,multiracial,non_first_gen,pell_eligible,private,19,good,often,female,part_time,drinks,vapes,music,math,reserved,never,excellent,usually,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes
33e8a552-51a1-436c-b471-a05684d19d26,mistral:latest,asian,first_gen,pell_eligible,public,23,great,sometimes,female,full_time,drinks,vapes,music,math,social,often,empty,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
ebffe56a-d38e-4856-bf24-92c0831b4468,mistral:latest,white,first_gen,pell_eligible,public,22,low,rarely,male,unemployed,abstains,neither,sports,science,reserved,often,struggles,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
b0c89eb8-fa6a-4eb3-9990-9cff4271319b,mistral:latest,black,first_gen,loans,public,17,great,never,male,unemployed,abstains,neither,other,engineering,reserved,often,struggles,usually,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
c94bd8f4-eb7c-4686-ba89-400fd4d9b46b,mistral:latest,black,first_gen,pell_eligible,private,23,low,never,female,full_time,drinks,vapes,other,engineering,reserved,never,apprehensive,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
ca88f64e-7066-47e6-8dc7-4b7d673ea021,mistral:latest,black,first_gen,family_pays,public,18,good,often,female,part_time,drinks,smokes,music,math,social,often,excellent,usually,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes
45151d5e-6deb-4cd9-a707-708fdbc5048e,mistral:latest,black,non_first_gen,loans,public,23,modest,often,female,unemployed,drinks,neither,arts,math,reserved,never,excellent,always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Always,Often,Often,Sometimes,Sometimes,Sometimes
4e6bcb37-e2f4-4801-909f-0e0d1cc650b3,mistral:latest,black,non_first_gen,pell_eligible,public,21,great,sometimes,male,full_time,abstains,smokes,arts,math,social,often,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
ccc5176e-ca3b-4c55-bd2f-c37043728b9c,mistral:latest,white,first_gen,loans,private,22,good,sometimes,female,full_time,drinks,vapes,music,science,reserved,never,struggles,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
