resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
4fc414dc-bbd9-4751-8152-d192de7b99c6,mistral,black,first_gen,loans,public,23,good,sometimes,female,part_time,drinks,vapes,games,math,reserved,often,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
47b9428e-73cd-4c77-8f3d-ba15065ad55f,mistral,white,first_gen,loans,public,17,low,often,female,unemployed,abstains,vapes,arts,math,social,never,struggles,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
4db2fef4-2253-44c4-a3a4-512adc6f9093,mistral,multiracial,non_first_gen,family_pays,private,22,good,never,male,unemployed,drinks,smokes,games,science,reserved,never,excellent,always,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes
af949823-ba31-4439-9f6a-5cf3867c29c2,mistral,white,first_gen,family_pays,public,20,low,often,female,full_time,abstains,vapes,music,arts,social,never,articulate,always,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
0165c3c7-cc7b-4358-b248-7dbf192d348c,mistral,white,non_first_gen,family_pays,public,22,low,often,male,part_time,drinks,vapes,arts,science,reserved,never,articulate,always,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes
539f1c64-6077-49e2-826d-d73263ba16d4,mistral,white,non_first_gen,pell_eligible,private,21,low,sometimes,male,unemployed,drinks,smokes,sports,math,reserved,often,apprehensive,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
fe385a32-403e-4094-8ba1-c09e563b31c2,mistral,asian,first_gen,family_pays,public,22,great,rarely,female,unemployed,abstains,neither,sports,arts,social,never,struggles,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
506ffc2b-4ab9-432d-8aae-fd87dfa53f17,mistral,white,non_first_gen,pell_eligible,private,18,low,never,female,unemployed,abstains,neither,arts,arts,reserved,often,empty,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
0cdda7c2-f908-47dd-8757-a915bb59ea5b,mistral,multiracial,non_first_gen,family_pays,private,23,modest,often,male,full_time,drinks,neither,arts,math,reserved,often,excellent,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes
367a9604-9f9d-44b0-9ec7-697db3183d4d,mistral,white,non_first_gen,loans,public,20,low,never,female,part_time,drinks,smokes,games,business,reserved,often,apprehensive,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes
