resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
e9594637-a2ec-4a50-a858-71c11399cbfe,mistral:latest,white,first_gen,pell_eligible,private,16,low,rarely,male,unemployed,drinks,smokes,other,business,social,often,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
d51cd64a-bab0-4431-b0ad-5529d776219d,mistral:latest,white,non_first_gen,pell_eligible,public,22,great,sometimes,female,unemployed,drinks,neither,music,business,social,often,apprehensive,always,3,1,4,3,3,3,3,4,3,3,3,3,3,3,3,3
787ef4de-31ef-46ce-8d9c-919ee248d804,mistral:latest,multiracial,non_first_gen,pell_eligible,private,22,low,rarely,female,full_time,abstains,smokes,games,math,social,never,articulate,always,3,2,3,2,3,3,3,4,3,3,1,3,3,3,3,3
b075d642-1f27-478b-9556-358e63334e3a,mistral:latest,asian,non_first_gen,loans,private,19,great,rarely,male,full_time,abstains,neither,music,arts,social,never,apprehensive,usually,4,2,4,3,3,2,3,4,4,3,3,3,3,3,3,3
436e043d-2f27-4bdb-ab1f-0e7e0d6fd15d,mistral:latest,black,non_first_gen,loans,public,18,good,rarely,male,part_time,drinks,vapes,music,arts,reserved,never,empty,always,5,1,4,3,4,2,3,4,4,3,3,3,3,3,3,3
80077b2a-f193-4056-9b1c-22acd8f985f7,mistral:latest,white,first_gen,pell_eligible,public,20,good,often,female,full_time,abstains,smokes,sports,arts,social,never,apprehensive,usually,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
8ae74953-89f0-45c4-b785-a911c68f14e1,mistral:latest,multiracial,non_first_gen,pell_eligible,private,19,good,often,female,part_time,drinks,vapes,music,math,reserved,never,excellent,usually,3,2,4,3,3,2,3,4,3,3,2,4,4,3,3,3
33e8a552-51a1-436c-b471-a05684d19d26,mistral:latest,asian,first_gen,pell_eligible,public,23,great,sometimes,female,full_time,drinks,vapes,music,math,social,often,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ebffe56a-d38e-4856-bf24-92c0831b4468,mistral:latest,white,first_gen,pell_eligible,public,22,low,rarely,male,unemployed,abstains,neither,sports,science,reserved,often,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
b0c89eb8-fa6a-4eb3-9990-9cff4271319b,mistral:latest,black,first_gen,loans,public,17,great,never,male,unemployed,abstains,neither,other,engineering,reserved,often,struggles,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
c94bd8f4-eb7c-4686-ba89-400fd4d9b46b,mistral:latest,black,first_gen,pell_eligible,private,23,low,never,female,full_time,drinks,vapes,other,engineering,reserved,never,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ca88f64e-7066-47e6-8dc7-4b7d673ea021,mistral:latest,black,first_gen,family_pays,public,18,good,often,female,part_time,drinks,smokes,music,math,social,often,excellent,usually,4,2,3,3,3,3,3,4,3,3,2,3,4,4,3,3
45151d5e-6deb-4cd9-a707-708fdbc5048e,mistral:latest,black,non_first_gen,loans,public,23,modest,often,female,unemployed,drinks,neither,arts,math,reserved,never,excellent,always,3,2,3,3,3,3,3,4,4,3,1,4,4,3,3,3
4e6bcb37-e2f4-4801-909f-0e0d1cc650b3,mistral:latest,black,non_first_gen,pell_eligible,public,21,great,sometimes,male,full_time,abstains,smokes,arts,math,social,often,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ccc5176e-ca3b-4c55-bd2f-c37043728b9c,mistral:latest,white,first_gen,loans,private,22,good,sometimes,female,full_time,drinks,vapes,music,science,reserved,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
779e3bbd-12a1-4360-b6b0-6e299677b831,mistral:latest,asian,non_first_gen,pell_eligible,public,22,great,never,female,full_time,drinks,neither,music,business,social,never,excellent,usually,3,1,4,2,3,1,3,4,3,3,1,3,4,4,3,3
614867ba-0c1f-43b1-8a14-e256135c2e10,mistral:latest,white,first_gen,family_pays,public,17,good,sometimes,female,part_time,drinks,neither,games,science,social,never,empty,always,5,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
2d1b74fa-a017-4ecd-92cd-7e5ac1d04f5a,mistral:latest,black,first_gen,pell_eligible,public,19,modest,never,male,unemployed,drinks,neither,arts,engineering,social,often,apprehensive,always,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
23137b76-92cf-41a8-a956-86e159efc392,mistral:latest,white,non_first_gen,family_pays,private,20,good,rarely,male,unemployed,abstains,neither,games,business,social,never,articulate,usually,4,2,4,3,3,2,3,4,4,2,2,3,4,3,3,3
11557dcd-ea64-48cd-85bc-729a4f13ca0c,mistral:latest,asian,non_first_gen,pell_eligible,public,22,great,often,male,full_time,abstains,vapes,sports,math,reserved,never,articulate,always,4,1,5,2,3,2,4,4,4,3,1,3,4,3,3,3
00e40bea-eec2-4957-a5d0-866391e4c009,mistral:latest,black,first_gen,loans,private,22,great,sometimes,male,unemployed,abstains,neither,music,engineering,social,never,empty,always,5,1,5,3,3,2,3,4,3,3,3,3,3,3,3,3
9bf84771-df45-4b23-89ca-fa93370dd2b9,mistral:latest,asian,first_gen,family_pays,public,20,great,rarely,female,unemployed,drinks,vapes,other,science,reserved,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
7a5d1c52-33dd-4304-bb4d-4e48998d15d1,mistral:latest,multiracial,non_first_gen,pell_eligible,private,22,good,never,female,unemployed,drinks,vapes,sports,math,social,often,empty,always,5,1,5,1,3,2,3,4,3,3,1,4,3,3,3,3
83bb883b-5d80-4976-af34-80af080f1890,mistral:latest,asian,first_gen,pell_eligible,public,17,low,never,male,unemployed,abstains,smokes,games,science,social,often,apprehensive,usually,3,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3
6a195391-68f9-490d-a67d-97a0774f8bcd,mistral:latest,black,non_first_gen,pell_eligible,public,20,modest,rarely,female,unemployed,drinks,smokes,music,science,reserved,often,articulate,always,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
57dc2edd-7d3d-477f-8f5e-1e7173a7d44a,mistral:latest,black,non_first_gen,family_pays,public,18,modest,sometimes,male,unemployed,drinks,vapes,games,math,social,never,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
215db221-fbf6-4162-817f-ce4d40ac22df,mistral:latest,white,first_gen,pell_eligible,public,22,good,sometimes,male,unemployed,drinks,vapes,arts,math,social,often,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
5e14ea5a-eddf-4cde-b393-078e9c3327af,mistral:latest,white,first_gen,pell_eligible,public,23,modest,rarely,male,full_time,drinks,smokes,arts,math,social,never,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
6bcc3326-2e08-4054-b8bf-5a74d752caf1,mistral:latest,multiracial,non_first_gen,family_pays,private,21,low,sometimes,female,full_time,drinks,smokes,arts,math,social,never,excellent,always,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3,3
7141f2f3-ac32-4104-be59-dd2159a9aa80,mistral:latest,asian,non_first_gen,family_pays,private,18,great,sometimes,female,part_time,drinks,smokes,other,science,social,often,struggles,always,4,1,4,3,3,3,3,4,3,3,3,3,3,3,3,3
9e763f44-aa45-4e0c-a3e1-5b27036d66fd,mistral:latest,multiracial,non_first_gen,loans,private,17,good,never,male,unemployed,drinks,vapes,arts,arts,reserved,never,excellent,always,5,1,5,2,3,2,3,4,4,3,1,4,5,3,3,3
2a7217ea-8503-4ecd-8ea3-d165df3d78cd,mistral:latest,multiracial,non_first_gen,family_pays,public,20,modest,rarely,male,part_time,abstains,smokes,other,math,social,often,apprehensive,always,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
9fe66720-590f-4aa3-ac23-bd6b5ec01dbb,mistral:latest,white,non_first_gen,family_pays,public,18,low,never,female,unemployed,drinks,vapes,other,engineering,reserved,often,excellent,usually,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3
bc0e6d4d-7a50-471d-8d1f-7e1276ce7ebc,mistral:latest,black,non_first_gen,pell_eligible,public,20,good,often,female,part_time,drinks,smokes,other,business,social,never,apprehensive,usually,4,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3
a2e1e591-6eda-464b-8c9f-412618795cf4,mistral:latest,multiracial,non_first_gen,family_pays,private,19,modest,often,female,full_time,abstains,vapes,music,arts,reserved,often,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
a4872d3c-37b6-492e-8563-a89efb95d263,mistral:latest,black,first_gen,pell_eligible,public,16,modest,never,female,full_time,drinks,neither,games,math,reserved,never,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
dbd904b7-4022-48d6-a827-c51d6e158b3f,mistral:latest,asian,non_first_gen,pell_eligible,private,16,great,rarely,female,full_time,drinks,vapes,sports,math,social,often,apprehensive,always,4,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3
a4515552-78f9-4b29-b528-90513f0024e6,mistral:latest,asian,first_gen,pell_eligible,private,18,great,sometimes,female,full_time,abstains,neither,other,engineering,reserved,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
f62a0d0a-dc02-442d-bf4f-357bf2164abe,mistral:latest,multiracial,first_gen,pell_eligible,private,17,modest,often,male,unemployed,drinks,neither,games,arts,reserved,never,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
1c6e0bf8-0abd-4746-b8df-d0669f71c89b,mistral:latest,asian,non_first_gen,loans,private,16,great,never,female,unemployed,drinks,smokes,other,science,reserved,often,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
7a8508f3-f9b5-461b-81f6-19cfd991883a,mistral:latest,asian,first_gen,pell_eligible,private,19,low,never,female,unemployed,drinks,vapes,music,science,social,never,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
36bf1a31-7938-441c-82af-958194f1de77,mistral:latest,black,first_gen,pell_eligible,private,17,great,never,female,full_time,drinks,neither,music,engineering,reserved,often,apprehensive,usually,4,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3
f5d51dab-aecb-467c-ba0a-ef463217d429,mistral:latest,white,non_first_gen,pell_eligible,private,22,low,sometimes,female,unemployed,abstains,smokes,other,math,social,never,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ca827fb5-fb15-484a-8978-ef76d54cca08,mistral:latest,white,first_gen,pell_eligible,private,16,great,never,female,unemployed,drinks,neither,other,science,social,often,apprehensive,always,5,1,5,1,3,3,3,4,3,3,3,3,3,3,3,3
38de545b-98e2-4dc0-b624-7415a76504fe,mistral:latest,black,non_first_gen,family_pays,public,20,low,sometimes,male,part_time,abstains,neither,games,arts,reserved,often,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
8ace2385-01db-4537-8e8b-1e2d3838b385,mistral:latest,white,first_gen,family_pays,private,22,good,never,female,unemployed,abstains,vapes,arts,arts,reserved,never,excellent,always,5,1,5,1,3,2,3,4,3,3,1,4,5,3,3,3
6614847b-69e6-448e-a7ef-8a4fce5f9049,mistral:latest,black,first_gen,family_pays,private,20,good,often,female,part_time,drinks,neither,music,science,reserved,often,empty,always,4,1,5,3,3,3,3,4,3,3,3,3,3,3,3,3
d77f89ea-36fd-4d18-8c02-baa248cdaa25,mistral:latest,black,non_first_gen,family_pays,private,16,great,sometimes,male,unemployed,abstains,vapes,sports,engineering,reserved,never,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
da359dd3-01db-44ec-bc8d-8b90377aed20,mistral:latest,multiracial,non_first_gen,family_pays,public,20,good,often,male,part_time,drinks,smokes,sports,science,reserved,often,excellent,usually,4,3,3,3,3,2,3,4,3,3,2,3,4,3,3,3
94ac9067-b9f7-4844-b11c-72de292d6ba5,mistral:latest,multiracial,first_gen,loans,private,18,great,sometimes,female,full_time,drinks,smokes,other,science,social,never,articulate,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
613cab04-8bc5-471f-81ee-0c3c13b825bf,mistral:latest,multiracial,non_first_gen,family_pays,public,17,low,never,female,unemployed,drinks,neither,other,engineering,social,often,excellent,usually,3,2,3,3,3,3,3,4,3,3,2,3,3,3,3,3
a4489b8a-f919-40d3-980b-d49a51e5f957,mistral:latest,multiracial,non_first_gen,family_pays,private,18,good,often,female,part_time,abstains,smokes,games,arts,reserved,never,empty,always,4,1,4,2,4,2,3,4,4,3,2,3,3,3,3,3
8b922adc-6d8e-4b36-8f58-f7f16b478aa9,mistral:latest,black,first_gen,family_pays,public,21,modest,rarely,female,part_time,abstains,smokes,sports,math,reserved,never,excellent,usually,3,3,3,3,3,2,3,4,3,3,3,3,4,3,3,3
39d5e089-31d6-4121-b8aa-8ba1d4644c7f,mistral:latest,white,non_first_gen,loans,public,20,good,sometimes,female,part_time,abstains,vapes,arts,arts,social,never,articulate,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
98eb6fdb-fc2e-4c32-8fbf-bde8dfc53248,mistral:latest,asian,non_first_gen,loans,public,23,modest,rarely,female,full_time,drinks,neither,other,arts,social,never,apprehensive,always,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3
0afe19c7-09e1-4fb0-96bb-2e577b624af0,mistral:latest,multiracial,first_gen,loans,public,19,good,rarely,female,unemployed,drinks,smokes,games,science,reserved,never,apprehensive,always,5,2,4,3,3,2,3,4,3,3,3,3,3,3,3,3
a22e1d78-1772-416d-ad65-a088d77beb5b,mistral:latest,black,first_gen,pell_eligible,public,20,low,never,male,full_time,abstains,vapes,music,business,reserved,never,empty,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
6dc43cc5-457b-4fb7-9ee6-79b69012110f,mistral:latest,white,non_first_gen,family_pays,public,18,great,never,male,unemployed,drinks,smokes,other,business,reserved,often,empty,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
0a4046d4-3258-4b77-ae60-bb47354d934b,mistral:latest,multiracial,first_gen,pell_eligible,private,21,great,never,female,unemployed,abstains,smokes,sports,math,social,often,articulate,always,5,1,5,1,4,2,4,4,4,2,1,4,4,3,3,3
473d6f18-4b42-4285-a4d0-a37868877747,mistral:latest,multiracial,first_gen,loans,private,23,great,rarely,female,full_time,abstains,neither,other,arts,reserved,often,empty,usually,3,2,4,2,3,2,3,4,4,3,3,3,3,3,3,3
521e8983-71c2-4c0b-857a-da45da9367ce,mistral:latest,white,non_first_gen,pell_eligible,private,19,good,never,male,unemployed,drinks,neither,arts,arts,reserved,often,apprehensive,always,5,1,5,1,3,3,3,4,3,3,1,3,3,3,3,3
e0ffe462-f630-4993-ba9c-85e1bb72b991,mistral:latest,asian,first_gen,family_pays,private,22,great,rarely,female,unemployed,abstains,neither,arts,business,reserved,never,empty,usually,5,2,4,2,3,2,3,4,4,2,2,3,3,4,3,3
379b4f08-831c-4af9-af96-68c03c8b66bf,mistral:latest,white,non_first_gen,pell_eligible,private,19,good,rarely,male,unemployed,abstains,neither,arts,math,reserved,never,empty,usually,4,2,3,2,3,2,3,4,3,3,3,3,3,3,3,3
a951f849-db5e-49fa-9690-a7a039da1575,mistral:latest,asian,non_first_gen,family_pays,private,17,great,often,female,part_time,drinks,neither,games,math,reserved,never,struggles,always,4,1,5,3,3,2,3,4,3,3,3,3,3,3,3,3
a7396105-5095-4b43-bf2c-a5f1d3d6ff8f,mistral:latest,asian,first_gen,loans,private,18,modest,sometimes,female,part_time,drinks,smokes,games,engineering,social,never,excellent,always,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3,3
d976837e-a082-41b6-8b34-58948e383732,mistral:latest,asian,first_gen,loans,private,20,modest,often,female,unemployed,drinks,smokes,arts,arts,reserved,often,excellent,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
337a9952-994f-429c-b11f-a94e428d0935,mistral:latest,asian,non_first_gen,loans,private,23,great,often,female,unemployed,drinks,smokes,other,science,reserved,never,apprehensive,usually,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
6373d712-26f6-492d-9ced-bb3175637459,mistral:latest,white,non_first_gen,loans,public,16,great,rarely,female,full_time,drinks,smokes,sports,business,social,often,excellent,usually,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3
0938b12f-acdd-4de1-9713-3f3a1fa89c63,mistral:latest,white,non_first_gen,pell_eligible,public,20,good,rarely,female,part_time,drinks,neither,games,business,social,often,excellent,always,5,1,5,2,3,2,4,4,4,3,1,4,5,3,3,3
7ea3f755-1674-42bb-9b23-2e1a0790dc57,mistral:latest,multiracial,first_gen,family_pays,public,20,good,rarely,female,unemployed,drinks,vapes,arts,business,social,often,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
b5059181-8f64-4856-845f-e08bda2843de,mistral:latest,asian,first_gen,pell_eligible,private,23,low,often,female,full_time,drinks,vapes,music,science,social,often,articulate,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
c5edfdbb-2bae-49d8-a680-233a3e1d91e3,mistral:latest,asian,first_gen,pell_eligible,private,16,great,sometimes,male,unemployed,drinks,vapes,sports,arts,social,often,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
4b334fbc-80ef-4cd9-81a3-da897ae45841,mistral:latest,white,non_first_gen,family_pays,public,22,good,never,male,part_time,abstains,neither,other,science,social,never,struggles,always,5,1,3,3,3,2,3,4,3,3,3,3,3,3,3,3
d1101f27-2b33-4552-b310-83cf7852c8ac,mistral:latest,white,non_first_gen,pell_eligible,private,17,modest,never,male,unemployed,abstains,smokes,sports,business,social,never,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
226197e1-c414-4c29-ac74-b6bb9815ea7e,mistral:latest,black,non_first_gen,pell_eligible,private,21,low,never,female,full_time,abstains,neither,music,math,reserved,never,empty,always,3,1,3,2,3,2,3,4,4,3,1,3,3,3,3,3
ddd744f2-35b4-4aee-9a2c-159dbc2fae02,mistral:latest,white,first_gen,pell_eligible,public,19,low,rarely,female,full_time,abstains,neither,music,engineering,reserved,often,apprehensive,always,3,2,3,3,3,3,3,4,3,3,4,3,2,3,3,3
27c26943-40b7-42ab-8dc9-11c8a26b8fa0,mistral:latest,white,non_first_gen,pell_eligible,public,19,great,often,male,full_time,drinks,vapes,other,arts,reserved,never,apprehensive,usually,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3
c16cd59d-6422-4103-9ec4-9f202e95ea73,mistral:latest,asian,first_gen,pell_eligible,private,18,modest,sometimes,male,unemployed,drinks,vapes,other,science,reserved,never,articulate,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
94f39033-c55f-4742-bca9-8bf8837c3c94,mistral:latest,black,first_gen,loans,public,18,low,sometimes,male,part_time,abstains,smokes,games,science,reserved,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
672407d0-d181-44ee-b443-31802f3a6f2c,mistral:latest,asian,non_first_gen,pell_eligible,public,23,great,rarely,male,full_time,drinks,smokes,other,math,reserved,often,articulate,always,5,1,5,1,3,2,3,4,4,3,1,3,4,3,3,3
4260f3cb-1df1-4826-a748-e0ba52928f1d,mistral:latest,multiracial,first_gen,family_pays,public,19,low,sometimes,female,unemployed,drinks,neither,arts,math,reserved,often,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
2671ea94-7bf8-4f02-a89e-3ee2757f27f9,mistral:latest,white,first_gen,family_pays,private,22,great,often,female,full_time,abstains,vapes,sports,arts,reserved,never,excellent,always,5,1,4,2,4,2,3,4,4,3,1,4,5,4,3,3
88d08a92-c7c9-458f-95df-4ffb905676a0,mistral:latest,asian,first_gen,family_pays,public,19,great,often,female,full_time,drinks,smokes,sports,engineering,social,never,struggles,always,3,1,3,2,3,2,3,4,3,3,2,3,3,3,3,3
eed573cb-846b-4b7d-95cd-e4277a016475,mistral:latest,black,first_gen,family_pays,public,20,low,never,male,part_time,drinks,smokes,games,science,reserved,never,articulate,always,3,1,3,3,3,2,3,4,3,3,3,3,3,3,3,3
daea3505-d608-4f3e-9f5f-7fedfa2d7241,mistral:latest,white,first_gen,loans,public,21,great,rarely,female,full_time,drinks,neither,games,science,social,never,articulate,always,5,1,5,1,4,2,3,4,4,3,1,3,4,3,3,3
3f9ddaf8-e8e4-47bb-9c33-657a906669c8,mistral:latest,white,first_gen,family_pays,private,18,great,rarely,male,full_time,abstains,neither,music,arts,reserved,often,excellent,always,5,1,5,2,4,1,3,4,5,2,1,5,5,4,3,3
434d0d88-05ca-484a-ab48-c2c664e7e82c,mistral:latest,multiracial,non_first_gen,loans,private,16,low,often,female,unemployed,drinks,smokes,sports,arts,social,often,empty,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
907d7bf3-a658-4539-8d86-a06022849604,mistral:latest,asian,first_gen,family_pays,private,22,low,never,female,unemployed,abstains,vapes,other,math,social,never,articulate,always,5,1,3,2,3,2,3,4,3,3,1,3,3,3,3,3
290f3cd6-912f-4b80-9833-4469af16eba6,mistral:latest,multiracial,non_first_gen,loans,public,16,low,often,male,full_time,abstains,neither,sports,arts,reserved,never,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
