resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
0aab4a09-49e7-4153-adbb-d6f2eacc1d4d,mistral,multiracial,first_gen,loans,public,16,good,rarely,female,full_time,abstains,vapes,music,arts,social,often,struggles,always,4,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
9f0fb1ff-e235-43a4-b0bc-d02cbffb6943,mistral,asian,first_gen,loans,public,22,great,often,female,full_time,drinks,smokes,arts,business,social,never,empty,usually,3,2,4,3,3,3,3,4,3,3,2,3,3,3,3,3
46cedaac-fe83-49b0-8305-9e70031218d6,mistral,asian,non_first_gen,family_pays,public,19,great,never,male,full_time,abstains,neither,music,math,social,never,articulate,always,5,1,5,1,5,1,4,4,5,2,1,3,4,4,3,3
ac2114c6-d00a-4f5b-a168-4fdae2936ebe,mistral,asian,non_first_gen,pell_eligible,private,22,low,often,male,part_time,drinks,vapes,other,science,social,often,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
fcb7e3f3-5931-465a-914e-5e41dfa15452,mistral,multiracial,first_gen,loans,private,21,great,rarely,male,part_time,drinks,vapes,games,science,reserved,often,empty,usually,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3
9d51e39f-f77f-4da8-be59-4b5491a5420e,mistral,black,non_first_gen,family_pays,private,20,low,rarely,male,full_time,drinks,smokes,arts,engineering,social,never,empty,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
dafcc846-3d93-40b7-adbd-22a5f1a80ae8,mistral,multiracial,first_gen,family_pays,private,17,low,rarely,male,unemployed,drinks,smokes,other,business,social,never,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
14202b19-9d56-4a51-9a86-bb91e734b3ed,mistral,asian,non_first_gen,family_pays,public,19,modest,sometimes,male,unemployed,drinks,smokes,other,business,reserved,often,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
ea5cd64b-2a75-4caf-b20e-9ae19f741517,mistral,asian,first_gen,loans,private,18,great,sometimes,male,part_time,drinks,vapes,music,business,reserved,never,empty,always,4,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
d8d32b72-7ecc-426f-ac31-73b50110b022,mistral,black,non_first_gen,loans,public,23,modest,never,female,unemployed,drinks,neither,arts,arts,social,often,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
be3c2fba-b0ef-42cb-8220-60c229de3735,mistral,multiracial,first_gen,family_pays,public,22,great,rarely,male,unemployed,abstains,neither,arts,math,social,never,articulate,always,5,1,5,1,4,2,4,4,4,2,1,5,5,3,3,3
6c53948f-104f-46d2-95e1-94cd926d1e65,mistral,asian,first_gen,family_pays,private,20,great,sometimes,male,unemployed,drinks,neither,other,math,social,never,apprehensive,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
c6569f3c-b7e3-45b0-8e50-23c98f43fc1d,mistral,white,non_first_gen,pell_eligible,public,16,modest,rarely,male,unemployed,drinks,smokes,music,engineering,reserved,often,excellent,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
d9cd1a32-96fd-459f-8bd8-c53565ae3ec3,mistral,black,first_gen,family_pays,private,18,good,never,female,unemployed,abstains,vapes,sports,arts,social,often,empty,always,5,1,5,2,5,3,3,4,3,2,2,3,3,3,3,3
567be426-d4cd-474f-ac9d-1da353b71a79,mistral,asian,first_gen,family_pays,public,21,good,often,female,part_time,drinks,smokes,sports,math,social,often,struggles,always,4,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3
9e212065-279b-498e-a0c4-cddafaeeb34f,mistral,asian,non_first_gen,family_pays,private,23,low,often,female,full_time,abstains,neither,music,arts,social,never,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
37e84a08-5197-4d79-873e-14cb50916d4e,mistral,asian,non_first_gen,loans,private,23,great,sometimes,male,unemployed,drinks,neither,sports,math,reserved,often,apprehensive,always,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
14be1a68-4056-490b-aa91-404012441acb,mistral,asian,first_gen,loans,private,21,good,often,female,part_time,drinks,neither,music,business,social,often,empty,usually,3,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3
a23c347b-bc4f-49b5-b62d-8b0437d584dc,mistral,asian,non_first_gen,pell_eligible,public,17,great,sometimes,male,part_time,abstains,neither,music,business,social,often,excellent,usually,3,3,3,3,3,3,3,4,3,3,1,3,4,3,3,3
8142c2fc-51eb-4928-b903-1a77d57e1fed,mistral,asian,non_first_gen,loans,public,22,good,sometimes,female,full_time,abstains,smokes,arts,arts,reserved,never,apprehensive,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
671f4ffc-3b09-4377-8231-db2501cdb969,mistral,multiracial,first_gen,family_pays,public,22,good,rarely,male,full_time,abstains,vapes,arts,arts,reserved,often,struggles,always,3,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3
879b6a8e-eff8-4db1-abe2-8bdd592f9faf,mistral,multiracial,first_gen,pell_eligible,private,17,great,often,male,full_time,abstains,smokes,music,business,social,often,apprehensive,usually,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
8ea336d5-6274-4981-be32-b317d1acc5c2,mistral,asian,non_first_gen,family_pays,public,16,good,often,female,unemployed,drinks,vapes,music,science,social,never,struggles,usually,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
93faf1eb-4fdd-4e21-97ef-b90947cf2f28,mistral,white,non_first_gen,loans,public,18,modest,sometimes,male,part_time,abstains,smokes,sports,math,reserved,never,struggles,always,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
3fcbf931-b117-4146-a062-4d24cff7d375,mistral,black,non_first_gen,family_pays,public,18,modest,rarely,male,unemployed,abstains,vapes,music,engineering,reserved,often,empty,always,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3
eada98de-1d62-4024-b1e4-f76fb2c94fc8,mistral,black,first_gen,family_pays,public,18,modest,often,female,unemployed,abstains,smokes,other,science,reserved,often,empty,always,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
6f263a99-d3de-42fc-a83e-7158c877bdbe,mistral,asian,first_gen,pell_eligible,public,20,good,never,male,part_time,abstains,smokes,music,engineering,reserved,often,articulate,usually,4,2,3,2,3,2,3,4,3,3,3,3,3,3,3,3
