Unnamed: 0,resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
0,794db241-3e23-4e16-a25f-34f75d7d0f80,tinyllama:1.1b,black,non_first_gen,pell_eligible,public,20,great,often,male,part_time,drinks,smokes,other,math,social,often,apprehensive,usually,3,3,5,3,5,3,3,1,3,,3,5
1,b80ff061-c172-4ea9-a7aa-d2b06cd2ed64,tinyllama:1.1b,asian,non_first_gen,pell_eligible,public,17,great,often,male,part_time,abstains,neither,other,engineering,reserved,often,apprehensive,usually,3,5,3,,1,3,3,,3,,3,3
2,b3c0def1-366f-4bee-8b9b-92fa944472c0,tinyllama:1.1b,white,first_gen,pell_eligible,private,19,great,sometimes,female,full_time,drinks,smokes,arts,engineering,reserved,never,articulate,always,3,3,3,3,3,3,5,1,5,3,3,3
3,e36d779b-7c7a-40b7-9ce2-f322979f8dd6,tinyllama:1.1b,asian,first_gen,family_pays,private,16,good,often,male,unemployed,drinks,smokes,arts,science,reserved,never,empty,usually,3,3,3,1,3,3,5,5,3,3,3,3
4,55693eae-62ca-49be-b3a5-088769738126,tinyllama:1.1b,multiracial,non_first_gen,pell_eligible,private,22,modest,never,male,part_time,drinks,neither,other,engineering,reserved,often,excellent,usually,3,3,3,3,,,3,3,3,3,3,5
5,c5b14922-261e-4215-9a39-fed34c1a0fff,tinyllama:1.1b,asian,non_first_gen,loans,private,17,great,rarely,female,full_time,abstains,neither,music,math,social,never,articulate,always,3,3,3,3,3,3,3,4,5,3,2,3
6,af7b2408-80a7-4eb9-a098-91a4a84eb25a,tinyllama:1.1b,multiracial,non_first_gen,family_pays,public,16,good,never,male,unemployed,abstains,neither,games,arts,reserved,often,apprehensive,usually,3,3,3,3,3,5,3,3,3,3,3,3
7,7831abf4-8109-49d2-b0c2-fce8aee54fd5,tinyllama:1.1b,multiracial,non_first_gen,family_pays,private,20,great,sometimes,female,full_time,abstains,smokes,music,engineering,social,never,struggles,always,3,3,5,3,3,4,3,3,2,1,3,3
8,ddb1e66a-8d3c-4b78-ab42-64a4cc75d1d2,tinyllama:1.1b,white,non_first_gen,loans,public,20,modest,never,male,part_time,drinks,vapes,games,business,social,never,apprehensive,always,3,5,3,3,,3,3,3,3,3,3,3
9,338ef8bf-ec95-4f88-b16f-ab65047e70b5,tinyllama:1.1b,multiracial,non_first_gen,loans,public,23,modest,rarely,male,unemployed,drinks,vapes,arts,science,social,often,excellent,always,3,1,5,3,2,3,3,3,3,4,3,3
