row,resid,question,original_response,nan_reason
7,dcfae8b3-bcf4-4aa3-a61a-e61da398de80,Q14,,Left blank / originally empty
47,99cd0ccc-1d0e-4fe2-b43b-e856cf0d7a1d,Q14,,Left blank / originally empty
10,b8120a63-85d1-4ff0-80d4-058a9e8979cc,Q15,,Left blank / originally empty
38,3c0cf472-79b3-4f67-a5bb-fb0222ecefc9,Q15,,Left blank / originally empty
48,5a48e979-661e-49e3-adf4-5955b85df3cc,Q15,,Left blank / originally empty
54,55e10335-8331-4ecc-b831-f2273429ea80,Q15,,Left blank / originally empty
73,d73d0b6e-acf0-43bf-a5e8-42f7873d6c3c,Q15,,Left blank / originally empty
81,d91c0551-56c6-43a4-9fdb-37752481ed09,Q15,,Left blank / originally empty
27,69b26dfa-7988-4969-8c59-5380eef352a3,Q16,,Left blank / originally empty
38,3c0cf472-79b3-4f67-a5bb-fb0222ecefc9,Q16,,Left blank / originally empty
44,5430f91b-9bbc-49d7-bd5d-74372590e1ac,Q16,,Left blank / originally empty
