Unnamed: 0,resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
0,d9f91c66-ba0f-4fa3-a210-da051eb275d2,qwen3.5:9b,black,first_gen,pell_eligible,public,16,low,rarely,male,unemployed,abstains,smokes,other,science,social,often,struggles,usually,3,1,4,3,4,5,3,4,1,3,3,2,3,3,3,3
1,5a9de819-cae8-4be1-ac1b-db506d2196e0,qwen3.5:9b,white,non_first_gen,loans,private,19,modest,sometimes,female,unemployed,drinks,vapes,music,science,social,often,apprehensive,usually,1,2,1,3,2,3,5,5,1,5,2,3,3,3,3,3
2,8b81a283-de30-4102-b8c5-12c4214d39db,qwen3.5:9b,multiracial,first_gen,loans,public,17,great,often,male,part_time,drinks,smokes,games,engineering,reserved,often,apprehensive,always,3,4,5,4,3,4,3,3,3,5,4,4,2,3,3,4
3,973da63d-29ac-46f2-bb62-4769df6f845e,qwen3.5:9b,black,first_gen,family_pays,public,18,great,often,male,part_time,abstains,neither,sports,business,social,often,excellent,usually,4,4,4,4,1,2,4,3,1,1,4,4,4,4,3,2
4,b596c8cf-6af2-4feb-89b2-e47bc0dd32d4,qwen3.5:9b,asian,first_gen,pell_eligible,private,16,good,sometimes,male,unemployed,drinks,smokes,games,business,social,never,struggles,always,4,3,4,3,2,3,2,3,3,3,3,2,3,3,3,3
5,1c8979c0-77e7-4be1-bf45-ca6be0b0ab06,qwen3.5:9b,multiracial,non_first_gen,family_pays,public,19,modest,rarely,female,full_time,abstains,vapes,arts,math,social,often,struggles,always,3,5,3,5,4,3,3,4,2,1,5,3,3,4,3,3
6,dbee567b-eac9-4df9-8414-92fe5788cd08,qwen3.5:9b,asian,first_gen,pell_eligible,public,21,low,rarely,female,part_time,drinks,smokes,sports,engineering,social,often,apprehensive,always,1,4,1,2,3,3,3,3,1,3,2,4,2,3,4,3
7,dcfae8b3-bcf4-4aa3-a61a-e61da398de80,qwen3.5:9b,asian,non_first_gen,pell_eligible,private,22,good,often,female,unemployed,abstains,neither,music,engineering,reserved,never,excellent,usually,1,4,5,4,4,4,3,1,1,1,4,4,5,,3,3
8,3131c899-db21-480e-b714-a7413440275e,qwen3.5:9b,black,first_gen,pell_eligible,private,16,great,never,female,part_time,drinks,smokes,games,math,social,often,empty,usually,4,1,4,4,4,2,1,2,2,3,3,3,4,4,3,3
9,54222f1a-d614-4d68-93e0-f71b71f9aad3,qwen3.5:9b,asian,non_first_gen,family_pays,public,23,good,rarely,female,unemployed,drinks,smokes,games,arts,social,never,excellent,usually,3,5,3,2,3,3,5,4,5,2,5,3,4,4,3,1
10,b8120a63-85d1-4ff0-80d4-058a9e8979cc,qwen3.5:9b,black,first_gen,loans,private,19,great,often,male,unemployed,drinks,vapes,music,engineering,social,never,apprehensive,always,5,4,2,1,2,4,1,4,3,1,2,4,2,3,,4
11,2922c276-2233-46eb-b9d9-fa4833d8e52e,qwen3.5:9b,asian,first_gen,loans,private,16,good,often,female,unemployed,drinks,neither,other,science,reserved,often,articulate,usually,4,2,2,3,4,5,4,1,3,3,3,2,3,3,3,3
12,20ec8ca7-5af9-44d1-9a77-fd2628774717,qwen3.5:9b,white,first_gen,loans,private,20,great,rarely,female,unemployed,abstains,smokes,games,science,social,often,empty,always,3,4,4,3,5,2,4,3,5,3,3,3,3,3,3,3
13,29c753e2-5327-41f6-b3b7-af9b5a2ac77e,qwen3.5:9b,white,non_first_gen,pell_eligible,public,18,good,often,female,full_time,abstains,smokes,games,science,reserved,never,apprehensive,always,3,2,4,2,1,4,1,2,3,5,1,2,2,3,3,4
14,9bb6cae0-f605-43ae-9f44-bfb3b5c36471,qwen3.5:9b,white,non_first_gen,family_pays,private,16,low,rarely,male,unemployed,abstains,smokes,arts,arts,reserved,never,empty,usually,5,3,4,1,4,3,1,4,4,3,3,1,3,3,3,3
15,0d7f9925-fdb2-4ed5-a033-024a70b51b80,qwen3.5:9b,white,non_first_gen,pell_eligible,private,19,low,rarely,female,full_time,drinks,neither,other,arts,social,often,excellent,usually,4,4,2,5,4,2,4,5,2,2,2,4,4,4,3,2
16,b257d8d4-faf3-4bd1-994a-06bb980181a7,qwen3.5:9b,asian,first_gen,loans,private,18,good,often,male,unemployed,drinks,neither,games,arts,social,never,empty,usually,1,4,4,3,4,3,4,1,4,3,1,4,3,4,3,3
17,b8292b0b-8114-46a7-9495-ab5f0d22b6b9,qwen3.5:9b,black,first_gen,pell_eligible,public,20,great,often,female,full_time,drinks,vapes,arts,business,social,never,articulate,always,2,4,4,4,1,4,4,1,3,3,2,5,4,4,3,3
18,4066efb2-a4d8-495f-b849-d28b3ac1c2db,qwen3.5:9b,white,non_first_gen,family_pays,public,17,good,rarely,male,unemployed,drinks,neither,arts,arts,social,often,empty,always,3,3,3,5,1,2,4,3,5,3,1,1,4,3,3,3
19,932938d0-1ff6-4d51-b4c8-935e670b4624,qwen3.5:9b,white,non_first_gen,family_pays,public,22,good,often,female,part_time,abstains,vapes,music,business,reserved,never,apprehensive,always,3,4,2,2,1,2,3,4,3,5,3,5,3,3,3,4
20,3f9a2a67-b4a8-49e0-9e15-8e38fc48fa15,qwen3.5:9b,black,first_gen,family_pays,public,23,great,rarely,male,full_time,drinks,vapes,arts,business,reserved,never,excellent,always,4,4,5,3,4,1,2,4,4,5,4,1,4,4,2,2
21,b501f2e3-1b0a-4572-9184-47c6cddf8490,qwen3.5:9b,white,first_gen,pell_eligible,public,18,low,rarely,female,part_time,drinks,neither,arts,arts,reserved,never,empty,usually,1,1,3,4,1,5,2,4,2,1,1,1,3,3,3,3
22,6b98eb12-74e2-4630-9b63-761aa4720dad,qwen3.5:9b,black,non_first_gen,loans,public,22,modest,sometimes,male,full_time,abstains,vapes,games,business,social,often,articulate,always,5,2,3,3,4,1,5,3,5,3,3,3,4,4,3,3
23,d0ecd749-7a28-4c28-9fb3-1c83f8cc306d,qwen3.5:9b,black,first_gen,loans,private,23,great,often,male,unemployed,abstains,smokes,arts,business,reserved,often,excellent,usually,4,4,4,3,4,3,3,1,5,3,4,4,4,4,3,3
