resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,enjoy_student,enjoy_learning,see_smart,studying_happy,describe_clever,calm_pressure,recover_setbacks,rarely_overwhelmed,handle_stress,emotionally_balanced,no_fear_speech,relaxed_speech,confident_speech,natural_leader,forget_speech,confused_speech
cbd15356-4ff6-44a5-95e2-edc318f17e23,gemma4:e2b,asian,first_gen,loans,public,17,low,sometimes,male,part_time,abstains,neither,arts,engineering,reserved,never,excellent,usually,3,4,4,3,4,3,4,2,3,3,5,4,5,3,4,3
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,gemma4:e2b,black,non_first_gen,family_pays,private,16,great,sometimes,female,part_time,drinks,smokes,arts,math,reserved,often,apprehensive,usually,4,4,4,3,5,3,2,3,2,3,2,3,2,3,4,3
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,gemma4:e2b,asian,non_first_gen,family_pays,public,23,low,never,female,unemployed,abstains,smokes,arts,arts,reserved,often,excellent,always,3,3,3,3,3,3,3,3,3,1,4,3,3,3,4,3
700fe36f-1db4-4042-947c-1f9bcae1c8b9,gemma4:e2b,multiracial,non_first_gen,pell_eligible,public,22,modest,never,male,full_time,abstains,vapes,other,arts,reserved,never,struggles,always,3,4,3,3,4,3,4,2,3,3,3,3,3,3,3,3
75222270-b7ac-4e8d-9468-75875169199c,gemma4:e2b,asian,first_gen,loans,public,22,low,rarely,male,part_time,drinks,neither,sports,science,reserved,often,apprehensive,always,3,3,2,2,3,3,3,3,1,3,1,2,1,2,3,3
094a1d07-fabb-4226-9a85-9ea2a33a6f98,gemma4:e2b,multiracial,non_first_gen,loans,private,20,good,often,male,full_time,drinks,neither,arts,engineering,social,never,excellent,always,5,5,5,3,5,5,5,2,4,3,5,4,5,4,4,2
db072c4f-ab4d-45a4-b146-48b89c9452a9,gemma4:e2b,white,first_gen,family_pays,private,17,great,rarely,female,unemployed,drinks,smokes,other,engineering,social,never,excellent,usually,4,4,5,4,5,5,5,2,5,5,5,4,5,4,2,2
bdaf21e8-0279-4a55-8af0-cee65c593b68,gemma4:e2b,multiracial,non_first_gen,pell_eligible,private,20,modest,never,male,part_time,drinks,vapes,sports,science,social,often,empty,usually,3,4,4,3,3,3,4,2,3,3,3,3,3,3,4,3
f207dcb8-1e51-4ecb-861a-3d0d453ef0f1,gemma4:e2b,white,non_first_gen,family_pays,public,19,low,sometimes,male,full_time,abstains,neither,other,engineering,reserved,often,excellent,usually,3,3,3,3,4,3,3,3,2,2,4,3,5,2,3,3
deb906c9-2f13-42f4-811d-ae540f682beb,gemma4:e2b,asian,non_first_gen,family_pays,private,17,modest,often,female,part_time,abstains,neither,music,business,reserved,often,struggles,always,3,4,3,3,3,3,3,3,1,3,2,2,2,3,4,3
a1b9792e-e915-423c-9415-cac6a1defc98,gemma4:e2b,white,non_first_gen,pell_eligible,public,23,great,never,female,part_time,abstains,smokes,other,science,reserved,never,excellent,always,5,5,5,5,5,5,4,2,5,5,5,5,5,3,4,3
68ecfe84-4656-465a-b66e-170e8c7651ba,gemma4:e2b,white,first_gen,pell_eligible,public,16,low,rarely,male,unemployed,drinks,vapes,other,science,social,often,struggles,always,3,3,3,3,3,3,2,3,2,3,2,1,1,2,4,3
a5d1bc53-bfec-4094-9196-1cfc8aadd78b,gemma4:e2b,black,non_first_gen,family_pays,public,19,modest,never,female,full_time,drinks,smokes,sports,arts,reserved,never,excellent,always,4,4,4,3,5,5,4,2,4,5,5,4,5,3,1,3
af5cee08-da0c-4dff-bbea-894186a466c4,gemma4:e2b,multiracial,non_first_gen,loans,public,18,modest,never,female,full_time,abstains,neither,other,arts,reserved,never,articulate,usually,4,4,4,4,4,4,4,2,4,5,4,4,3,3,3,3
e5104853-caa7-4e66-950c-672d9776e278,gemma4:e2b,multiracial,non_first_gen,loans,private,18,good,often,female,part_time,abstains,vapes,sports,arts,social,often,excellent,usually,5,5,5,4,5,4,4,3,3,3,5,3,5,4,3,3
