resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
cbd15356-4ff6-44a5-95e2-edc318f17e23,enjoy_student,likert5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,enjoy_learning,freq5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,see_smart,likert5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,studying_happy,freq5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,describe_clever,likert5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,calm_pressure,freq5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,recover_setbacks,likert5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,rarely_overwhelmed,freq5,2,2,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,handle_stress,likert5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,emotionally_balanced,freq5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,no_fear_speech,likert5,5,5,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,relaxed_speech,freq5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,confident_speech,likert5,5,5,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,natural_leader,freq5,3,3,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,forget_speech,likert5,4,4,True,validated,0
cbd15356-4ff6-44a5-95e2-edc318f17e23,confused_speech,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,enjoy_student,likert5,4,4,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,enjoy_learning,freq5,4,4,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,see_smart,likert5,4,4,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,studying_happy,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,describe_clever,likert5,5,5,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,calm_pressure,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,recover_setbacks,likert5,2,2,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,rarely_overwhelmed,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,handle_stress,likert5,2,2,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,emotionally_balanced,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,no_fear_speech,likert5,2,2,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,relaxed_speech,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,confident_speech,likert5,2,2,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,natural_leader,freq5,3,3,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,forget_speech,likert5,4,4,True,validated,0
961d12d6-1974-4ce7-ad7d-a94f27e08b1a,confused_speech,freq5,3,3,True,validated,0
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,enjoy_student,likert5,3,3,True,validated,0
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,enjoy_learning,freq5,3,3,True,validated,0
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,see_smart,likert5,3,3,True,validated,0
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,studying_happy,freq5,3,3,True,validated,0
5fa49791-3bf0-4999-8f64-8a0b2cdfbc7d,describe_clever,likert5,3,3,True,validated,0
