resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
ecba2a59-3b02-4793-9c60-9821ba171e08,gemma3,multiracial,first_gen,pell_eligible,private,18,great,often,male,full_time,drinks,neither,sports,business,reserved,never,empty,usually,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree
244f5394-2f54-4a21-94eb-2f281dd05a27,gemma3,multiracial,non_first_gen,loans,private,22,great,often,female,part_time,abstains,vapes,games,arts,reserved,never,articulate,usually,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
db7e5035-2b80-417d-b607-d314a6d6644b,gemma3,multiracial,non_first_gen,family_pays,private,20,low,never,male,unemployed,drinks,vapes,arts,math,reserved,often,excellent,usually,Agree,Neutral,Agree,agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree
870922f6-d675-413b-b14b-12e865e3f493,gemma3,asian,first_gen,pell_eligible,private,17,good,never,female,unemployed,drinks,smokes,arts,business,reserved,never,articulate,usually,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
498d40b5-a758-4788-9497-71b09a5a319c,gemma3,asian,non_first_gen,pell_eligible,private,20,low,often,female,unemployed,drinks,smokes,games,engineering,reserved,never,articulate,usually,Agree,Neutral,Agree,neutral,agree,Neutral,Agree,neutral,Agree,disagree,agree,Agree
6222cecd-fd85-498e-b289-d8a65e543951,gemma3,multiracial,non_first_gen,family_pays,public,20,great,sometimes,female,full_time,abstains,neither,music,arts,social,often,apprehensive,always,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,agree,Agree,agree,agree
42fd0d52-3a0e-4495-84f4-6dd91dad54b8,gemma3,black,first_gen,family_pays,private,22,great,often,female,full_time,drinks,vapes,arts,engineering,reserved,never,excellent,always,Agree,Strongly agree,Agree,Strongly agree,Agree,strongly agree,Agree,strongly agree,Agree,Agree,strongly agree,Agree
200b4ff1-535c-4b9d-9060-ad727ab619f1,gemma3,asian,first_gen,pell_eligible,private,20,low,rarely,male,part_time,drinks,neither,other,arts,reserved,often,excellent,always,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
4d8b8ec0-7a24-4035-adb8-9839c91cfca0,gemma3,asian,first_gen,pell_eligible,private,16,great,sometimes,male,full_time,drinks,neither,arts,engineering,reserved,never,struggles,usually,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,neutral,Agree,neutral,Agree,Agree
ab682d83-051c-4d4a-beb6-987f4195b885,gemma3,multiracial,first_gen,pell_eligible,public,19,modest,never,male,unemployed,drinks,smokes,arts,business,social,never,struggles,always,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,agree,Agree,Agree,Agree,Agree
12d73a1a-8f77-4a51-a87d-49b36b1e10ea,gemma3,white,first_gen,pell_eligible,private,23,low,rarely,female,part_time,drinks,neither,sports,engineering,social,never,apprehensive,always,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,agree,Agree
39acb60b-33f4-47c4-a37a-c3889cd50d1b,gemma3,white,non_first_gen,loans,public,17,good,sometimes,female,part_time,drinks,neither,arts,arts,social,often,articulate,always,Disagree,Agree,Agree,strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,strongly agree,Agree
218de0d7-7891-446d-a7f4-0df507551a02,gemma3,white,first_gen,loans,private,23,good,sometimes,female,full_time,abstains,vapes,games,arts,reserved,often,articulate,always,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,agree,Agree
01ea1b80-6c63-40f4-8c3b-d5c9e6a6ed20,gemma3,asian,first_gen,family_pays,public,22,modest,sometimes,female,part_time,drinks,neither,arts,math,reserved,never,apprehensive,always,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,agree,Disagree,agree,agree
64f5fb7e-0445-41f7-9db7-f2444437e4d6,gemma3,black,first_gen,pell_eligible,public,22,modest,rarely,female,unemployed,drinks,vapes,music,engineering,social,often,apprehensive,usually,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,agree,Agree
