resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
bcac33de-226d-4233-b022-221966d94aff,gemma2:9b,multiracial,first_gen,loans,public,21,great,rarely,male,full_time,drinks,neither,games,science,reserved,often,excellent,always,65,35,75,35,85,55,85,85,30,85,30,35
8a1f6992-6f19-4c5f-9db2-39489dc113f9,gemma2:9b,white,first_gen,pell_eligible,private,16,great,sometimes,female,full_time,abstains,smokes,games,business,social,never,empty,always,25,85,75,85,75,75,75,85,20,75,95,30
904a770f-a07d-4b74-8d2d-5beef6edd482,gemma2:9b,multiracial,non_first_gen,pell_eligible,private,18,low,often,male,full_time,drinks,smokes,other,science,reserved,often,articulate,usually,75,35,85,35,85,25,85,75,75,60,35,75
3ac972b1-f7cf-40de-aaa9-75062d5dd0d9,gemma2:9b,white,first_gen,pell_eligible,public,19,modest,sometimes,male,part_time,abstains,smokes,other,engineering,social,often,apprehensive,usually,75,40,85,65,80,30,85,25,75,45,85,85
2bbcadd3-d199-4b19-92eb-73cae2eb0a7c,gemma2:9b,white,non_first_gen,loans,private,20,modest,sometimes,female,part_time,drinks,vapes,arts,engineering,reserved,often,excellent,always,75,45,75,35,75,65,85,85,35,75,65,20
094cf17f-d9e0-4c4a-8fea-3b363f40d3f5,gemma2:9b,black,non_first_gen,pell_eligible,public,19,great,never,male,full_time,drinks,vapes,other,arts,reserved,never,struggles,always,75,35,75,35,85,65,85,40,65,75,65,72
4b7fd258-ab96-4112-a93e-6394540ff5f8,gemma2:9b,multiracial,non_first_gen,pell_eligible,private,21,modest,rarely,female,full_time,drinks,smokes,other,engineering,social,never,excellent,usually,35,95,35,85,35,85,35,95,20,75,95,25
4a503100-272e-4722-b34c-984cbe687e06,gemma2:9b,white,non_first_gen,family_pays,public,20,good,rarely,male,full_time,drinks,vapes,sports,arts,social,often,empty,always,35,85,65,85,45,75,65,85,25,85,85,25
dceb57e8-f650-4563-a199-85bcb4ea2557,gemma2:9b,asian,non_first_gen,loans,public,23,modest,rarely,male,full_time,abstains,vapes,games,engineering,social,often,articulate,usually,65,85,75,85,75,75,75,85,75,85,85,65
349d4f22-cacf-4983-b1fb-491bd0b17386,gemma2:9b,multiracial,first_gen,loans,public,23,great,often,male,full_time,abstains,smokes,sports,engineering,social,often,empty,always,25,85,65,75,65,65,75,75,35,65,85,65
2ca9d1e4-c5dd-4fc6-894e-f3326c9e6454,gemma2:9b,asian,non_first_gen,family_pays,public,21,great,rarely,male,unemployed,drinks,vapes,other,business,reserved,never,empty,always,85,35,75,45,85,65,85,75,65,75,65,35
ab3f2350-c037-4317-ab30-5b383b13c9d5,gemma2:9b,black,non_first_gen,loans,public,16,modest,sometimes,female,unemployed,drinks,vapes,music,science,reserved,never,excellent,usually,75,65,75,65,85,75,85,95,65,75,85,65
ada86a9a-feaf-45ee-9daa-4a9d05552c63,gemma2:9b,black,first_gen,pell_eligible,private,17,good,rarely,female,part_time,abstains,vapes,other,arts,social,never,struggles,always,65,75,65,85,65,75,85,85,35,85,95,65
dc9a51f0-24ce-4292-bf00-c01f109d1db6,gemma2:9b,black,first_gen,family_pays,private,16,low,often,male,part_time,abstains,vapes,sports,science,reserved,never,empty,usually,75,35,75,25,75,35,85,75,75,65,65,85
c62d0f27-7c09-48d8-bd49-68cfbac06c2e,gemma2:9b,white,non_first_gen,family_pays,public,23,good,often,male,part_time,abstains,neither,other,science,reserved,never,struggles,always,85,40,75,50,75,65,85,35,45,65,65,35
738fe2cf-a9e6-45e5-acfd-5843ac20563f,gemma2:9b,white,non_first_gen,family_pays,private,23,modest,rarely,male,full_time,drinks,vapes,sports,arts,social,never,excellent,always,35,85,20,85,30,85,25,95,15,85,95,10
a32d3560-9770-4a0a-9567-6db0e720c9b0,gemma2:9b,white,non_first_gen,family_pays,public,22,modest,rarely,male,part_time,abstains,neither,arts,science,reserved,often,apprehensive,always,85,25,85,25,85,25,85,25,85,30,10,75
240c3e77-1750-49c9-8137-0b5e33e23bc3,gemma2:9b,multiracial,non_first_gen,pell_eligible,private,16,modest,often,male,full_time,drinks,neither,music,math,reserved,often,apprehensive,usually,85,25,85,25,85,25,85,10,85,30,20,85
bd669306-1667-40b9-983a-ded00e61aa10,gemma2:9b,white,first_gen,family_pays,public,19,modest,often,female,full_time,abstains,vapes,other,science,reserved,often,excellent,always,75,35,75,20,75,45,85,95,30,75,35,10
c03d898c-e15d-4023-a65c-cd7c89069788,gemma2:9b,asian,first_gen,family_pays,public,20,modest,often,female,unemployed,drinks,neither,sports,business,social,never,excellent,usually,50,85,75,85,30,75,65,95,30,85,95,25
b45e33e3-ccfb-4a09-83ba-8efddb49e431,gemma2:9b,asian,first_gen,pell_eligible,public,23,good,often,female,unemployed,abstains,neither,games,science,reserved,never,struggles,usually,75,35,75,25,85,35,85,30,85,75,60,75
5a479dd8-a242-4fd3-abf0-4566ddf5bb9f,gemma2:9b,multiracial,non_first_gen,family_pays,public,22,good,rarely,male,part_time,abstains,vapes,arts,science,social,often,struggles,usually,75,75,75,85,75,75,85,85,75,75,85,75
c9f35ca8-5b53-405e-b16a-697d4085ac8e,gemma2:9b,white,non_first_gen,pell_eligible,public,21,modest,often,male,unemployed,drinks,vapes,games,business,social,never,excellent,usually,75,85,45,85,35,75,75,85,35,85,85,25
b9033b76-9ab3-4f33-a519-fc2cc67537ae,gemma2:9b,multiracial,non_first_gen,pell_eligible,public,20,low,sometimes,female,unemployed,drinks,vapes,music,arts,reserved,never,apprehensive,usually,85,20,85,25,85,25,95,20,85,20,20,85
2ff5879f-e4fb-4d9c-898a-601168c04ece,gemma2:9b,multiracial,first_gen,loans,public,17,great,often,female,part_time,drinks,neither,arts,science,reserved,often,empty,always,75,35,85,40,85,35,85,35,72,35,25,75
ceaa66e9-b878-4e1f-a410-358c1dda8738,gemma2:9b,asian,first_gen,pell_eligible,public,16,modest,never,male,full_time,abstains,neither,other,business,reserved,often,excellent,always,75,30,85,65,85,35,85,95,65,75,35,75
