resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
39003fb2-59a6-4b12-8be4-5ce1127e301f,llava-llama3:latest,white,first_gen,pell_eligible,private,18,modest,sometimes,male,part_time,abstains,neither,sports,arts,reserved,never,articulate,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
fbee430a-90e2-46e2-82b8-754983547305,llava-llama3:latest,asian,first_gen,loans,public,16,great,sometimes,male,part_time,abstains,vapes,other,business,reserved,never,articulate,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
17788d3e-8acb-4aab-9c92-2c14d8cbe6bf,llava-llama3:latest,black,first_gen,pell_eligible,private,17,low,sometimes,female,part_time,abstains,vapes,games,business,reserved,never,excellent,usually,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes
5c3df03b-3bb4-46c8-b34c-d993a2849bf8,llava-llama3:latest,asian,non_first_gen,loans,public,21,modest,rarely,female,part_time,abstains,neither,music,arts,reserved,never,empty,always,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
17898a0e-37f5-4799-b0bc-6051a8372542,llava-llama3:latest,black,first_gen,pell_eligible,public,20,low,often,male,unemployed,drinks,vapes,arts,science,reserved,never,empty,always,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
53d29dc4-9e3c-41ca-b2e6-b87058d417fa,llava-llama3:latest,asian,non_first_gen,family_pays,public,17,modest,sometimes,male,part_time,drinks,vapes,sports,engineering,social,often,struggles,usually,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
5b15e1ba-afcb-4539-8df0-aef14c192d2c,llava-llama3:latest,black,first_gen,family_pays,private,20,good,rarely,male,unemployed,abstains,smokes,games,business,reserved,never,excellent,always,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
ff685b83-cf32-4ee8-a825-0bd27f65def2,llava-llama3:latest,black,first_gen,family_pays,public,21,great,often,female,unemployed,drinks,vapes,games,business,social,never,empty,always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
0a00b856-affd-4293-8278-1a66bf170d22,llava-llama3:latest,asian,non_first_gen,family_pays,private,16,good,sometimes,female,part_time,abstains,smokes,other,science,reserved,often,articulate,usually,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes
adb3201c-12c0-4ff1-a244-e7d3b504b891,llava-llama3:latest,asian,non_first_gen,pell_eligible,public,16,good,never,female,unemployed,drinks,smokes,other,science,reserved,often,excellent,always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely
