resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_1,likert5,1,1,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_2,likert5,4,4,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_3,likert5,1,1,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_4,likert5,4,4,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_5,likert5,3,3,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_6,likert5,3,3,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_7,likert5,3,3,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_8,likert5,4,4,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_9,likert5,3,3,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_10,likert5,5,5,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_11,likert5,4,4,,not_checked,0
c8d18e07-dd32-436e-a74d-75a05fde7de2,prca_12,likert5,2,2,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_1,likert5,4,4,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_2,likert5,2,2,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_3,likert5,3,3,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_4,likert5,2,2,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_5,likert5,4,4,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_6,likert5,3,3,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_7,likert5,4,4,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_8,likert5,1,1,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_9,likert5,4,4,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_10,likert5,5,5,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_11,likert5,2,2,,not_checked,0
a476c5f8-a60f-4d58-9316-948ff992c09c,prca_12,likert5,3,3,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_1,likert5,5,5,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_2,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_3,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_4,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_5,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_6,likert5,2,2,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_7,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_8,likert5,3,3,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_9,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_10,likert5,1,1,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_11,likert5,4,4,,not_checked,0
363b0bf7-9520-4394-a841-2d74054b203a,prca_12,likert5,2,2,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_1,likert5,3,3,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_2,likert5,4,4,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_3,likert5,2,2,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_4,likert5,5,5,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_5,likert5,2,2,,not_checked,0
01bb6667-9fe0-425f-b238-a8a850b89926,prca_6,likert5,5,5,,not_checked,0
