resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,prca_1,prca_2,prca_3,prca_4,prca_5,prca_6,prca_7,prca_8,prca_9,prca_10,prca_11,prca_12
e605d407-0266-4190-8d38-0c43f148d062,qwen2.5:7b,asian,non_first_gen,loans,public,20,good,rarely,female,full_time,abstains,vapes,sports,science,reserved,never,struggles,always,2,4,2,1,2,1,3,4,1,4,4,4
42e317af-b7f2-460f-81eb-fbaa57309f9c,qwen2.5:7b,multiracial,non_first_gen,family_pays,public,19,good,never,female,unemployed,abstains,smokes,other,science,social,often,excellent,usually,5,1,1,1,1,1,4,1,5,4,2,4
ddc23251-6ee0-46d2-832a-b06b0584a06f,qwen2.5:7b,asian,non_first_gen,loans,public,17,modest,never,male,full_time,abstains,vapes,music,business,social,never,struggles,always,1,4,1,5,4,2,1,4,3,4,2,1
8d53dc6d-d9b3-4e6b-8e97-1960571b8ad6,qwen2.5:7b,asian,first_gen,pell_eligible,private,16,good,sometimes,female,unemployed,drinks,vapes,arts,science,social,never,struggles,usually,1,5,4,4,1,5,5,1,2,2,3,3
d1777dbd-67f9-4754-9a6d-7d6cf3168fcf,qwen2.5:7b,multiracial,first_gen,loans,public,21,modest,never,female,unemployed,abstains,neither,music,arts,social,often,apprehensive,usually,1,2,3,1,5,4,2,1,1,1,4,4
7f1f739a-a51e-4d50-a039-ff1b3d499fed,qwen2.5:7b,multiracial,first_gen,pell_eligible,public,23,great,rarely,male,part_time,drinks,smokes,music,engineering,reserved,often,articulate,always,1,2,3,3,5,2,4,4,4,1,2,2
826bd635-586a-4b8d-85f3-252b3ec0b478,qwen2.5:7b,white,non_first_gen,loans,public,16,great,never,male,unemployed,abstains,neither,sports,math,reserved,often,struggles,usually,4,4,4,3,2,4,2,3,4,2,3,2
0ce8897e-7786-4f05-b74f-feee6a52a62a,qwen2.5:7b,white,non_first_gen,loans,public,21,great,never,female,part_time,drinks,smokes,other,science,social,often,struggles,always,2,5,1,3,4,3,4,1,4,2,5,5
2a0022ca-7436-432d-8951-a0350ef3b6de,qwen2.5:7b,white,non_first_gen,pell_eligible,public,22,good,often,female,full_time,drinks,vapes,sports,engineering,reserved,never,articulate,always,4,3,5,2,1,2,2,2,4,1,1,2
d53f1ebb-790b-4535-96a7-d9bfb8cbe890,qwen2.5:7b,multiracial,non_first_gen,loans,private,19,low,sometimes,female,part_time,drinks,vapes,other,science,social,often,apprehensive,always,3,5,1,3,2,2,4,1,3,4,2,3
b5c68d34-e074-4365-836b-97db6b0b3348,qwen2.5:7b,black,non_first_gen,loans,private,18,good,often,female,part_time,drinks,smokes,games,engineering,reserved,often,excellent,usually,5,3,1,3,4,3,1,4,2,3,5,2
b66b28c4-109c-4790-91be-97e4fac9453f,qwen2.5:7b,white,first_gen,family_pays,public,17,good,rarely,male,full_time,drinks,neither,games,science,reserved,never,apprehensive,usually,3,3,5,2,2,1,5,3,4,1,1,5
244f89ce-41c0-4df7-bbee-a3f1458bbaa5,qwen2.5:7b,white,non_first_gen,loans,private,21,good,rarely,female,full_time,drinks,vapes,music,engineering,reserved,never,empty,always,1,4,4,4,4,2,3,1,1,2,4,2
fa37c8ea-931d-4880-bb35-4eec5acbb512,qwen2.5:7b,white,first_gen,loans,private,16,low,never,male,unemployed,abstains,smokes,arts,math,reserved,never,articulate,usually,5,4,1,1,1,4,5,4,3,2,5,3
ba7408f4-5f13-4530-9a7d-4d778616d830,qwen2.5:7b,white,non_first_gen,loans,public,17,modest,often,female,part_time,drinks,vapes,sports,business,reserved,often,empty,always,5,4,2,5,1,5,3,4,2,5,4,2
5c28ba47-e9e3-499c-a6c7-c5872b5fb06b,qwen2.5:7b,multiracial,non_first_gen,family_pays,public,19,good,never,male,full_time,abstains,smokes,arts,engineering,reserved,never,apprehensive,usually,1,1,2,2,3,1,2,4,3,5,4,1
dc17c174-5616-45c5-9e4e-3a42bdeacb51,qwen2.5:7b,white,non_first_gen,pell_eligible,private,21,good,rarely,male,full_time,drinks,vapes,sports,science,social,often,apprehensive,usually,1,5,2,3,4,5,5,5,4,2,2,4
cf11dd0a-4e25-45a2-9c45-73b073ee0462,qwen2.5:7b,multiracial,non_first_gen,loans,private,19,good,rarely,female,full_time,abstains,smokes,arts,engineering,social,never,empty,usually,2,4,3,3,4,2,2,4,2,5,5,1
e02fada8-a85c-44d3-acaa-f7961c9f9c89,qwen2.5:7b,white,non_first_gen,loans,private,16,modest,often,male,full_time,abstains,vapes,sports,science,social,never,excellent,always,3,1,4,4,3,4,2,2,5,2,1,1
a99efafa-b47c-4e13-9606-b72b4f6caf31,qwen2.5:7b,asian,non_first_gen,pell_eligible,public,20,modest,often,male,full_time,abstains,vapes,other,math,reserved,often,empty,always,3,1,1,5,5,4,1,5,1,2,3,2
e34fcf36-9917-478d-923d-c6f2d9a9e9f4,qwen2.5:7b,white,first_gen,pell_eligible,private,20,good,sometimes,male,full_time,drinks,vapes,other,arts,social,never,struggles,always,3,4,3,1,4,1,5,3,4,4,1,5
90999bb1-cae7-4b18-b70e-26412666142f,qwen2.5:7b,asian,non_first_gen,family_pays,public,18,great,sometimes,female,full_time,drinks,neither,other,engineering,social,never,empty,usually,5,2,5,4,5,1,5,1,2,2,1,2
fde4012d-4829-4388-9634-311134bb3cf6,qwen2.5:7b,multiracial,first_gen,loans,public,16,modest,sometimes,female,full_time,drinks,smokes,other,science,reserved,often,apprehensive,always,2,3,2,3,5,4,2,5,5,4,2,4
f91cd946-9e85-4616-bcbf-01cc8ce11786,qwen2.5:7b,asian,non_first_gen,family_pays,private,17,good,never,female,full_time,drinks,vapes,other,math,reserved,often,struggles,always,2,4,4,3,5,4,4,1,4,4,2,5
66e52369-ee24-455e-b438-8691cc323db0,qwen2.5:7b,multiracial,non_first_gen,pell_eligible,public,19,great,never,male,part_time,abstains,neither,music,arts,social,often,excellent,usually,2,4,2,4,1,4,2,4,1,1,4,2
c5cea7cb-4388-4abf-bb71-b01fd8ecefcf,qwen2.5:7b,white,first_gen,family_pays,private,19,low,rarely,female,full_time,drinks,smokes,games,arts,reserved,often,articulate,usually,3,3,2,4,4,1,4,2,5,1,4,4
2835a09d-c3cd-4468-85af-0f1f2c801712,qwen2.5:7b,multiracial,first_gen,family_pays,public,19,modest,never,male,part_time,abstains,smokes,music,engineering,reserved,never,struggles,always,2,3,2,5,2,4,5,3,2,5,4,3
b393f461-6c68-427b-a7c0-87507596063d,qwen2.5:7b,black,non_first_gen,family_pays,public,16,good,rarely,male,unemployed,abstains,smokes,arts,arts,reserved,never,struggles,always,1,4,2,4,2,3,1,3,1,5,1,1
209b75f7-0386-4542-aeb9-7968ebefd3e3,qwen2.5:7b,white,non_first_gen,pell_eligible,private,22,modest,sometimes,female,full_time,drinks,smokes,sports,math,social,never,struggles,usually,1,2,5,2,2,1,1,1,5,5,4,4
a14edce8-27a0-403f-92de-3258146b2d8a,qwen2.5:7b,black,non_first_gen,pell_eligible,public,20,low,rarely,male,unemployed,drinks,smokes,other,science,reserved,never,empty,usually,1,2,3,3,4,2,3,4,4,1,2,1
6f1ed254-7721-4fdd-8471-90d28f80b13b,qwen2.5:7b,black,first_gen,family_pays,private,19,great,sometimes,female,part_time,abstains,vapes,other,science,reserved,often,struggles,usually,4,5,4,3,1,4,2,4,4,3,3,2
