resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,prca_1,prca_2,prca_3,prca_4,prca_5,prca_6,prca_7,prca_8,prca_9,prca_10,prca_11,prca_12
1251132e-1a8e-458f-b9d5-e6cecbac67a8,llama3.2:3b,multiracial,non_first_gen,pell_eligible,public,22,low,never,male,unemployed,drinks,smokes,other,engineering,social,never,apprehensive,always,3,3,3,2,2,3,3,2,3,3,3,4
8765ba77-eb51-4496-b310-3f8607f996ab,llama3.2:3b,multiracial,non_first_gen,family_pays,private,16,great,sometimes,female,unemployed,drinks,vapes,sports,engineering,social,never,empty,always,3,3,3,4,2,4,3,3,1,2,3,2
64eec99d-6d43-4853-bef4-ea5ce94f4958,llama3.2:3b,white,non_first_gen,family_pays,private,18,low,often,male,part_time,abstains,smokes,arts,arts,reserved,never,empty,usually,4,2,2,3,4,3,2,2,2,3,3,3
2974163d-c41a-46b9-8e67-45fd90240187,llama3.2:3b,multiracial,non_first_gen,pell_eligible,public,21,low,sometimes,male,part_time,drinks,vapes,sports,arts,reserved,often,empty,usually,3,2,3,2,3,2,2,3,4,2,2,3
c375ec70-b0be-48bc-b556-fb9d382ca114,llama3.2:3b,asian,first_gen,family_pays,public,22,good,never,female,unemployed,abstains,neither,music,science,social,never,struggles,usually,1,4,4,3,3,3,2,3,2,3,3,3
115da82b-3d41-4c78-ac8d-050d2d4415ab,llama3.2:3b,asian,first_gen,loans,private,18,low,rarely,female,part_time,abstains,smokes,games,engineering,social,never,articulate,always,2,3,3,4,3,3,4,4,3,4,3,3
0aa253df-174d-4e14-b598-a4474140b968,llama3.2:3b,asian,first_gen,pell_eligible,public,22,modest,never,male,unemployed,abstains,smokes,music,arts,social,often,struggles,usually,3,3,3,3,3,3,4,3,2,2,3,2
b68fd815-16aa-462a-8600-41cfe4a8356e,llama3.2:3b,asian,non_first_gen,pell_eligible,public,23,great,sometimes,female,unemployed,drinks,vapes,other,math,social,never,struggles,always,2,3,3,4,2,2,3,2,2,3,5,2
3c41b91f-2876-4e2f-b18c-08bb205000bd,llama3.2:3b,asian,non_first_gen,family_pays,public,21,good,sometimes,male,part_time,drinks,neither,arts,business,reserved,never,apprehensive,usually,3,3,4,4,3,3,2,3,4,3,3,3
4c537851-e9f6-421a-9cdc-382104574bc9,llama3.2:3b,black,first_gen,family_pays,public,19,good,rarely,female,unemployed,abstains,neither,games,arts,reserved,often,struggles,always,4,3,3,3,2,4,3,2,3,3,2,3
0c62044f-7354-44e1-971b-a039ccbcaafd,llama3.2:3b,white,first_gen,loans,public,20,modest,sometimes,male,unemployed,drinks,vapes,arts,math,reserved,often,empty,always,3,2,3,2,3,2,3,3,4,2,3,4
0cbca02b-b9d5-450d-a756-4f2088527323,llama3.2:3b,black,first_gen,loans,private,20,modest,sometimes,male,unemployed,drinks,neither,other,business,social,often,empty,usually,3,3,4,4,3,4,2,4,4,2,3,3
428bbd72-04d9-4e78-aa95-99b5bf4e083b,llama3.2:3b,white,non_first_gen,pell_eligible,private,22,low,rarely,female,full_time,drinks,neither,sports,science,reserved,never,apprehensive,always,2,3,4,3,4,2,4,2,4,3,3,3
00e98dfa-1f9e-4504-9211-5fb6afb30fd4,llama3.2:3b,asian,first_gen,loans,private,22,good,rarely,female,unemployed,drinks,smokes,games,engineering,social,never,empty,usually,2,3,4,4,3,3,3,3,2,2,3,2
ae9b2cf7-4e91-4f22-8fa2-1ea4caf176b9,llama3.2:3b,multiracial,first_gen,loans,public,23,low,rarely,female,full_time,abstains,vapes,other,business,social,never,empty,always,2,3,3,3,4,3,2,2,3,3,3,3
5b5a122b-dbc5-44a8-aa93-e152099f733e,llama3.2:3b,asian,first_gen,loans,private,23,good,rarely,female,part_time,abstains,vapes,other,business,social,often,apprehensive,always,2,2,3,4,3,3,3,2,3,3,4,3
3cf20399-e421-4610-a2df-c65556b07793,llama3.2:3b,black,first_gen,family_pays,private,18,modest,sometimes,male,part_time,drinks,smokes,games,math,social,never,struggles,always,3,3,4,3,3,4,2,2,2,3,4,3
bf0cbfd0-d651-47af-8fac-ca5b7d6658fa,llama3.2:3b,black,first_gen,pell_eligible,private,23,good,sometimes,female,unemployed,drinks,vapes,sports,math,reserved,never,apprehensive,usually,3,2,2,3,4,3,3,3,3,3,2,3
