resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,prca_1,prca_2,prca_3,prca_4,prca_5,prca_6,prca_7,prca_8,prca_9,prca_10,prca_11,prca_12
ec656602-6cc9-4782-b0d6-de07f7ad85af,mistral-nemo:12b,asian,non_first_gen,loans,private,19,modest,rarely,male,part_time,abstains,neither,sports,business,social,never,struggles,always,3,3,3,4,3,3,3,3,3,3,3,2
beeffda7-d5bb-46f6-978e-e1b39bc36274,mistral-nemo:12b,white,non_first_gen,loans,private,18,low,rarely,male,full_time,abstains,vapes,games,engineering,reserved,never,articulate,always,3,3,4,2,4,3,3,3,3,3,4,4
7702b893-276c-45e9-9f5e-13b2bf7a79a1,mistral-nemo:12b,black,non_first_gen,family_pays,public,19,modest,never,female,part_time,abstains,smokes,arts,science,reserved,never,excellent,always,3,3,3,3,4,3,4,3,3,3,3,3
910e539e-b5a9-4082-b123-5bb7aa03a24c,mistral-nemo:12b,black,non_first_gen,family_pays,public,21,low,sometimes,male,part_time,drinks,smokes,sports,engineering,social,never,struggles,always,3,3,3,3,3,3,3,3,3,2,3,3
ec4162b1-248b-40bf-bd43-2c5ce7bdad6d,mistral-nemo:12b,multiracial,non_first_gen,loans,private,16,modest,sometimes,female,part_time,abstains,neither,sports,math,social,often,apprehensive,always,3,3,4,3,4,3,4,3,4,3,3,3
d12a3a69-a369-4c01-a8b2-79cacd2ab8ef,mistral-nemo:12b,black,first_gen,family_pays,private,20,low,never,male,full_time,drinks,smokes,music,engineering,social,often,excellent,usually,3,3,3,4,3,3,3,3,3,2,4,3
b7b1f292-d66d-42ca-8dfe-0c4950bba5c8,mistral-nemo:12b,multiracial,non_first_gen,loans,private,17,great,rarely,female,part_time,abstains,neither,music,business,reserved,often,articulate,always,3,3,4,3,3,3,4,4,3,4,3,3
9bf5c773-24ad-475a-8e65-6757343920ef,mistral-nemo:12b,black,non_first_gen,family_pays,private,23,great,rarely,male,part_time,drinks,neither,arts,science,reserved,often,articulate,usually,3,3,4,3,4,3,3,3,3,3,3,3
9b33d7a2-dd02-43e0-97d3-66b077b1d151,mistral-nemo:12b,black,non_first_gen,loans,public,17,modest,rarely,male,full_time,drinks,smokes,games,science,social,never,excellent,usually,3,4,3,4,3,3,3,4,3,3,4,3
c372388f-27f4-4fa8-9c58-897cd78d3849,mistral-nemo:12b,black,first_gen,pell_eligible,private,17,modest,never,male,full_time,drinks,vapes,sports,arts,reserved,never,articulate,always,4,3,4,3,3,3,3,3,2,3,3,3
467773ac-daf2-4601-b578-de0d07684c7c,mistral-nemo:12b,white,first_gen,pell_eligible,private,18,great,rarely,female,part_time,abstains,neither,games,engineering,social,often,apprehensive,usually,4,3,4,3,4,3,4,3,4,2,3,4
889702cb-dad8-42ef-ab91-e28984d4178c,mistral-nemo:12b,multiracial,non_first_gen,pell_eligible,private,19,good,never,female,part_time,abstains,neither,other,engineering,social,often,excellent,usually,3,3,3,4,3,3,3,4,3,3,4,3
b13b9b69-4443-4f88-85d9-c86dd59321f4,mistral-nemo:12b,white,non_first_gen,family_pays,public,23,modest,never,female,full_time,abstains,neither,games,business,social,never,articulate,usually,3,4,3,4,2,3,3,4,2,4,4,3
