resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,prca_1,prca_2,prca_3,prca_4,prca_5,prca_6,prca_7,prca_8,prca_9,prca_10,prca_11,prca_12
871b67ff-da70-4ea1-b44d-cd460cde0193,qwen3.6:27b,white,non_first_gen,loans,public,20,great,never,female,unemployed,abstains,neither,arts,math,social,never,articulate,always,1,5,1,5,1,5,1,5,1,5,5,1
cfaa69b5-32dd-4467-a2d5-dbdf970dc61c,qwen3.6:27b,multiracial,non_first_gen,pell_eligible,private,22,good,rarely,male,part_time,drinks,vapes,music,engineering,social,often,articulate,always,1,5,1,5,1,4,1,5,1,4,5,1
f80166f0-192d-4ce4-990d-fe2f22bbf8bd,qwen3.6:27b,asian,non_first_gen,pell_eligible,private,21,modest,rarely,female,unemployed,drinks,vapes,sports,business,social,never,excellent,usually,1,5,1,4,1,5,1,5,1,5,5,1
7f48fcd3-ea1c-4dfd-86cd-205bf5cf3b04,qwen3.6:27b,white,first_gen,family_pays,private,19,good,sometimes,male,unemployed,drinks,vapes,games,engineering,social,never,apprehensive,always,4,2,4,2,4,1,4,2,4,2,2,4
8b2033b0-28bb-475e-b0da-b4abd694f509,qwen3.6:27b,multiracial,first_gen,pell_eligible,public,23,great,often,male,part_time,abstains,neither,other,engineering,social,never,excellent,always,1,5,1,5,1,5,1,5,1,4,5,1
80133e9e-7753-4d8f-85e7-b2a5488cd921,qwen3.6:27b,white,first_gen,pell_eligible,private,20,good,sometimes,male,full_time,abstains,neither,music,math,social,often,articulate,usually,1,4,1,4,1,4,1,5,1,4,5,1
8fe3db82-6add-451f-8d4e-91f296d6b49d,qwen3.6:27b,black,first_gen,loans,private,17,good,often,female,unemployed,drinks,smokes,arts,science,social,often,struggles,always,2,4,2,4,1,2,1,2,1,1,5,1
0f1a0a66-5f6b-40b1-ad06-ebfec3fb8a7e,qwen3.6:27b,white,non_first_gen,loans,public,21,great,rarely,male,part_time,drinks,smokes,sports,arts,reserved,often,struggles,always,4,1,4,1,4,2,5,2,4,2,1,4
ab768bab-3bc0-4b02-85ce-e575b2029370,qwen3.6:27b,asian,first_gen,pell_eligible,public,19,modest,often,male,part_time,drinks,neither,games,engineering,social,often,struggles,usually,1,3,2,4,1,2,1,2,1,2,4,1
fe1fe41e-f330-48db-8989-9a915ab83d23,qwen3.6:27b,white,non_first_gen,loans,private,19,low,sometimes,female,full_time,drinks,vapes,arts,arts,reserved,often,articulate,usually,4,2,4,2,5,2,4,2,2,1,1,1
3962cd4a-0877-400c-bd55-be373e8e22e3,qwen3.6:27b,white,non_first_gen,pell_eligible,public,18,great,never,female,full_time,drinks,smokes,other,math,social,often,apprehensive,usually,4,2,4,2,4,2,4,1,4,1,2,4
af423792-43bd-4bd1-89b1-4434f9c12b5a,qwen3.6:27b,white,first_gen,loans,private,20,good,sometimes,female,unemployed,abstains,neither,music,arts,social,often,struggles,always,1,4,4,4,1,2,1,4,1,2,5,2
08f18ed4-9a70-4ba2-bdf0-9653cff43d09,qwen3.6:27b,white,first_gen,loans,private,23,great,often,male,part_time,abstains,vapes,music,business,reserved,often,empty,usually,4,2,4,2,5,1,5,2,4,1,1,1
08f4f460-e660-4f44-840c-e3f3acae9ea1,qwen3.6:27b,multiracial,non_first_gen,family_pays,private,18,modest,never,female,part_time,drinks,smokes,music,business,reserved,never,excellent,always,1,5,1,4,1,5,4,5,1,4,1,1
3f37e17c-977f-47b4-acc3-02f8c5747d63,qwen3.6:27b,black,first_gen,loans,private,19,low,never,male,unemployed,drinks,neither,music,science,reserved,often,articulate,usually,4,2,4,2,4,2,4,2,4,2,1,2
9808a1e6-e174-4a1d-bccf-228777393732,qwen3.6:27b,black,non_first_gen,pell_eligible,private,16,great,often,female,part_time,drinks,vapes,sports,science,reserved,often,struggles,always,5,2,5,2,5,1,5,2,4,1,1,4
c33ad2b6-ff86-47cb-aa04-e80459d38526,qwen3.6:27b,black,non_first_gen,pell_eligible,private,18,modest,never,female,full_time,abstains,vapes,music,business,social,never,apprehensive,usually,4,2,4,2,4,2,5,1,4,1,2,4
55866014-d218-400c-917e-cdfb58213a20,qwen3.6:27b,multiracial,first_gen,loans,public,19,great,often,male,part_time,abstains,neither,music,math,social,often,articulate,always,1,5,1,5,1,4,1,5,1,2,4,1
14c8387f-22a1-4efb-9037-0f28f3dfe71b,qwen3.6:27b,black,first_gen,pell_eligible,private,19,low,rarely,male,part_time,drinks,neither,music,business,social,often,apprehensive,usually,4,1,4,2,4,2,4,1,4,1,1,4
9ba26a5b-49a9-4b07-94e2-fa51bd6c8a39,qwen3.6:27b,asian,non_first_gen,loans,public,22,low,never,female,part_time,abstains,vapes,music,math,reserved,never,struggles,always,5,1,4,1,5,1,5,2,4,1,1,4
3492d3af-19f2-4999-98ef-65e0e2c14026,qwen3.6:27b,black,first_gen,loans,public,23,great,never,female,full_time,drinks,smokes,arts,business,social,often,empty,always,1,4,1,5,1,4,1,5,1,4,4,1
1339abb8-5db2-4687-85a9-fdc0e6c3387b,qwen3.6:27b,multiracial,non_first_gen,loans,private,22,low,often,female,full_time,drinks,vapes,other,math,reserved,often,apprehensive,always,5,1,5,1,5,1,5,1,4,1,1,4
90f577e3-d4a4-49e3-8b9f-038d05144816,qwen3.6:27b,white,non_first_gen,loans,public,23,good,rarely,female,part_time,abstains,vapes,music,arts,reserved,often,articulate,usually,4,2,4,2,4,1,4,2,2,2,1,4
71c16d43-db37-4604-a762-ef920ce275b3,qwen3.6:27b,white,first_gen,pell_eligible,private,17,low,often,female,unemployed,drinks,vapes,other,engineering,reserved,often,struggles,always,5,1,5,1,5,1,5,2,5,1,1,4
1f36fa84-672d-46fe-b070-82d72985fdc6,qwen3.6:27b,asian,non_first_gen,pell_eligible,private,22,great,never,male,unemployed,drinks,vapes,music,arts,reserved,often,excellent,always,1,5,1,2,4,1,4,5,1,1,1,1
